Opt_Energy,T2
-1.4014201558333585,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.4284752148595965,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.3920791881729357,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.3872164728998784,"(((0, 4), (3, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4198860294311233,"(((0, 4), (3, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.3505692172003245,"(((0, 4), (3, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.3720047140659397,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.3740732960689934,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.3249275330052805,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.424670773949087,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.4577011844604866,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.4197196850391327,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.429027925026328,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.3840549060692608,"(((0, 5), (3, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.416895925869854,"(((0, 5), (3, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.4214619649199713,"(((0, 5), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4399024601680708,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.4307127366409809,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.4138527190924268,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.41105189405936,"(((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4258692659350527,"(((1, 4), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.3749103273561172,"(((1, 4), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4327371959735267,"(((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4378112004035977,"(((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.4230015354633951,"(((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4160896714661568,"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
