Opt_Energy,T2
-1.4144316005932849,"((0, 6), (3, 7))"
-1.3726506998380064,"((4, 0), (7, 1))"
-1.3553748294686225,"((0, 4), (3, 5))"
-1.3781933580133736,"((4, 2), (7, 3))"
