Opt_Energy,T2
-1.6492721958692065,"(((0, 6), (3, 7)), ((4, 0), (7, 1)))"
-1.6490015966962357,"(((0, 6), (3, 7)), ((0, 4), (3, 5)))"
-1.648901389777817,"(((0, 6), (3, 7)), ((4, 2), (7, 3)))"
-1.6489247713583906,"(((4, 0), (7, 1)), ((0, 4), (3, 5)))"
-1.6490015943089542,"(((4, 0), (7, 1)), ((4, 2), (7, 3)))"
-1.649272077135099,"(((0, 4), (3, 5)), ((4, 2), (7, 3)))"
