Opt_Energy,T2
-1.630840362356773,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.6221896432173462,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.6232742589217621,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.670449815912749,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.6629711535570149,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.6518495543432872,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.6120199945365457,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.621631233314179,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.621631233340485,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.6166836299968934,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.6308403606395756,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.5887310767756597,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.546100919317607,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.7156011258474466,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.6371314398513794,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.6232742593456067,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.7202402790398708,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.6147323965434937,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.6371314398513785,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.6221896456474894,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.7202402762773201,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.616101088016007,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.6704498031702224,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.5918718058058614,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.5934440615770855,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.6518495530723554,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.6130120966313757,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.601125413230207,"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.625908988905611,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.626758480032339,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.7676824490431131,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.741317249053293,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.6322003349938607,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.62213394655226,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))"
