Opt_Energy,T2
-1.2820304423073319,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.2522914584341827,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.2740506877801656,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.3736328573511165,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.373450267182386,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.355140224591755,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.2412814905462395,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.2354051600387463,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.2195738347605087,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.3540153776446093,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.388867152725048,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4077580881335825,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.3860640757822722,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.5841574923284316,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.3887697195992437,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.2389527715509572,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.2548029587697793,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.2151861371875827,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.3539015562965586,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.2221571011495174,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.3793216210797161,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.2356831608679006,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.220632976567984,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.2141556257070283,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.3763676348563512,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.2177597258489206,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.379425944524812,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
