Opt_Energy,T2
-1.518115372773007,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.1181411505988255,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.4152204878540156,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.6877399726641888,"(((0, 4), (3, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.628496131782311,"(((0, 4), (3, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5830590677305811,"(((0, 4), (3, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.3125781804018062,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.212435288214786,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.4478806089681928,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.2323709874767759,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.2935434815248579,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.3059409502178312,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.2928792096069581,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.4170030081186349,"(((0, 5), (3, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.3553357426845456,"(((0, 5), (3, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.3928883259220561,"(((0, 5), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4728371291117952,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.4819007840843712,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.4519951925961099,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.677740412443388,"(((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5819211006673788,"(((1, 4), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.619350946308053,"(((1, 4), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4854828821737818,"(((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4449683698163631,"(((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.4092319910680922,"(((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.6177776777219743,"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
