Opt_Energy,T2
-1.657213661792246,"(((0, 4), (2, 6)), ((0, 5), (2, 7)))"
-1.6245099786413006,"(((0, 4), (2, 6)), ((0, 4), (3, 7)))"
-1.4607167343541358,"(((0, 4), (2, 6)), ((0, 5), (3, 6)))"
-1.667141234008016,"(((0, 4), (2, 6)), ((1, 4), (2, 7)))"
-1.4297152333872716,"(((0, 4), (2, 6)), ((1, 5), (2, 6)))"
-1.6572136615804594,"(((0, 4), (2, 6)), ((1, 4), (3, 6)))"
-1.6511210343103309,"(((0, 4), (2, 6)), ((1, 5), (3, 7)))"
-1.5718111224478322,"(((0, 4), (2, 6)), ((4, 5), (6, 7)))"
-1.6745492876510806,"(((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.4047602256023297,"(((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.6268346700270753,"(((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.5189837048854882,"(((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.6657664945076665,"(((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.65604518945766,"(((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.5829227791715548,"(((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.403928466996084,"(((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.6400368450604752,"(((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.456312015501919,"(((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.6745492875700134,"(((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.6248543451271664,"(((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.572017662748825,"(((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.3783496410417442,"(((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.2957963119659452,"(((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.3691645956906497,"(((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.4098229189087736,"(((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.3519410222529795,"(((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.469075594851895,"(((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.6260909004616693,"(((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.6643789799968856,"(((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.5778159302564738,"(((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.4861999482981192,"(((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.432055222257755,"(((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.4074721162471118,"(((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.6560451897961457,"(((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5784523072998384,"(((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5725449352661762,"(((1, 5), (3, 7)), ((4, 5), (6, 7)))"
