Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff_rem,,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-1.627568956,-1.648888521,-1.643293311,0.000247255,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 2)]"
"((0, 5), (2, 7))",-1.597891489,-1.620740522,-1.616836705,0.000358921,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (7, 2), (7, 5), (2, 7), (0, 7), (2, 7), (5, 7), (2, 7), (0, 7), (2, 7), (5, 7), (7, 5), (5, 0), (7, 2)]"
"((1, 4), (3, 6))",-1.596881292,-1.620740522,-1.616871292,0.0003996,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (6, 3), (6, 4), (3, 6), (1, 6), (3, 6), (4, 6), (3, 6), (1, 6), (3, 6), (4, 6), (6, 4), (4, 1), (6, 3)]"
"((0, 4), (2, 6))",-1.589473215,-1.613852812,-1.610428832,0.000439138,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (6, 2), (6, 4), (2, 6), (0, 6), (2, 6), (4, 6), (2, 6), (0, 6), (2, 6), (4, 6), (6, 4), (4, 0), (6, 2)]"
"((1, 5), (3, 7))",-1.587777417,-1.612576881,-1.609186015,0.000458328,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (7, 3), (7, 5), (3, 7), (1, 7), (3, 7), (5, 7), (3, 7), (1, 7), (3, 7), (5, 7), (7, 5), (5, 1), (7, 3)]"
"((1, 4), (2, 7))",-1.583433905,-1.60571693,-1.602788643,0.000374606,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (7, 2), (7, 4), (2, 7), (1, 7), (2, 7), (4, 7), (2, 7), (1, 7), (2, 7), (4, 7), (7, 4), (4, 1), (7, 2)]"
"((0, 5), (3, 6))",-1.582987047,-1.60571693,-1.602835181,0.000393948,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (6, 3), (6, 5), (3, 6), (0, 6), (3, 6), (5, 6), (3, 6), (0, 6), (3, 6), (5, 6), (6, 5), (5, 0), (6, 3)]"
"((0, 4), (3, 7))",-1.57968477,-1.607026899,-1.603996807,0.000591075,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (7, 3), (7, 4), (3, 7), (0, 7), (3, 7), (4, 7), (3, 7), (0, 7), (3, 7), (4, 7), (7, 4), (4, 0), (7, 3)]"
"((4, 5), (6, 7))",-1.562414342,-1.578986123,-1.577845625,0.000238124,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 4), (7, 6), (7, 5), (6, 7), (4, 7), (6, 7), (5, 7), (6, 7), (4, 7), (6, 7), (5, 7), (7, 5), (5, 4), (7, 6)]"
"((0, 1), (2, 3))",-1.560969138,-1.578986123,-1.577859404,0.000285281,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(1, 0), (3, 2), (3, 1), (2, 3), (0, 3), (2, 3), (1, 3), (2, 3), (0, 3), (2, 3), (1, 3), (3, 1), (1, 0), (3, 2)]"
