Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-1.644797135,-1.648888521,-1.646421246,1.67E-05,2.64E-06,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 2)]"
"((0, 5), (2, 7))",-1.616645922,-1.620740522,-1.618840246,1.68E-05,4.82E-06,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (7, 2), (7, 5), (2, 7), (0, 7), (2, 7), (5, 7), (2, 7), (0, 7), (2, 7), (5, 7), (7, 5), (5, 0), (7, 2)]"
"((1, 4), (3, 6))",-1.616198113,-1.620740514,-1.618775897,2.06E-05,6.64E-06,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (6, 3), (6, 4), (3, 6), (1, 6), (3, 6), (4, 6), (3, 6), (1, 6), (3, 6), (4, 6), (6, 4), (4, 1), (6, 3)]"
"((0, 4), (2, 6))",-1.609401316,-1.613852812,-1.61200641,1.98E-05,6.79E-06,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (6, 2), (6, 4), (2, 6), (0, 6), (2, 6), (4, 6), (2, 6), (0, 6), (2, 6), (4, 6), (6, 4), (4, 0), (6, 2)]"
"((1, 5), (3, 7))",-1.608151399,-1.612576881,-1.610876784,1.96E-05,7.43E-06,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (7, 3), (7, 5), (3, 7), (1, 7), (3, 7), (5, 7), (3, 7), (1, 7), (3, 7), (5, 7), (7, 5), (5, 1), (7, 3)]"
"((0, 4), (3, 7))",-1.601970537,-1.607026899,-1.605366582,2.56E-05,1.15E-05,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (7, 3), (7, 4), (3, 7), (0, 7), (3, 7), (4, 7), (3, 7), (0, 7), (3, 7), (4, 7), (7, 4), (4, 0), (7, 3)]"
"((0, 5), (3, 6))",-1.601899988,-1.60571693,-1.604112147,1.46E-05,4.89E-06,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (6, 3), (6, 5), (3, 6), (0, 6), (3, 6), (5, 6), (3, 6), (0, 6), (3, 6), (5, 6), (6, 5), (5, 0), (6, 3)]"
"((1, 4), (2, 7))",-1.601486577,-1.60571693,-1.604082191,1.79E-05,6.74E-06,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (7, 2), (7, 4), (2, 7), (1, 7), (2, 7), (4, 7), (2, 7), (1, 7), (2, 7), (4, 7), (7, 4), (4, 1), (7, 2)]"
"((4, 5), (6, 7))",-1.576236857,-1.578986123,-1.57794935,7.56E-06,2.93E-06,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 4), (7, 6), (7, 5), (6, 7), (4, 7), (6, 7), (5, 7), (6, 7), (4, 7), (6, 7), (5, 7), (7, 5), (5, 4), (7, 6)]"
"((0, 1), (2, 3))",-1.57438338,-1.578986123,-1.577976289,2.12E-05,1.29E-05,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(1, 0), (3, 2), (3, 1), (2, 3), (0, 3), (2, 3), (1, 3), (2, 3), (0, 3), (2, 3), (1, 3), (3, 1), (1, 0), (3, 2)]"
"((0, 0), (2, 0))",-1.575381416,-1.576599288,-1.575616478,1.48E-06,5.53E-08,1,0,0.25,0,0.4,0.6,0.071428571,"[(2, 0), (0, 2), (0, 2), (2, 0)]"
"((1, 0), (3, 0))",-1.575364732,-1.576599288,-1.575616478,1.52E-06,6.34E-08,1,0,0.25,0,0.4,0.6,0.071428571,"[(3, 1), (1, 3), (1, 3), (3, 1)]"
"((4, 0), (6, 0))",-1.575848042,-1.576599288,-1.575616536,5.64E-07,5.36E-08,1,0,0.25,0,0.4,0.6,0.071428571,"[(6, 4), (4, 6), (4, 6), (6, 4)]"
"((5, 0), (7, 0))",-1.575630874,-1.576599288,-1.575616476,9.38E-07,2.07E-10,1,0,0.25,0,0.4,0.6,0.071428571,"[(7, 5), (5, 7), (5, 7), (7, 5)]"
"(((1, 5), (2, 6)), ((0, 5), (2, 7)))",-1.716150009,-1.726945259,-1.722168694,0.000116537,3.62E-05,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (5, 0), (6, 2), (7, 2), (7, 5), (2, 7), (0, 7), (2, 7), (5, 7), (2, 7), (0, 7), (2, 7), (5, 7), (7, 5), (5, 0), (7, 2)]"
"(((1, 5), (2, 6)), ((1, 4), (3, 6)))",-1.71544749,-1.726945255,-1.721532311,0.000132199,3.70E-05,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (4, 1), (6, 2), (6, 3), (6, 4), (3, 6), (1, 6), (3, 6), (4, 6), (3, 6), (1, 6), (3, 6), (4, 6), (6, 4), (4, 1), (6, 3)]"
"(((1, 5), (2, 6)), ((0, 4), (2, 6)))",-1.643982223,-1.653555475,-1.651435427,9.16E-05,5.56E-05,0,2,0,0.2,0.5,0.5,0.142857143,"[(4, 0), (5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 4), (2, 6), (0, 6), (2, 6), (4, 6), (2, 6), (0, 6), (2, 6), (4, 6), (6, 4), (4, 0), (6, 2)]"
