Operator,Noisy_val_approx,Ideal_val,sum_cx,sum_cx0,sum_t2
"((0, 5), (2, 7))",-1.4188578488320969,-1.4188578488320969,0.3076923076923077,0.9230769230769231,1
"((1, 4), (3, 6))",-1.4188578488320969,-1.4188578488320969,0.3076923076923077,0.9230769230769231,1
"(((0, 5), (2, 7)), ((1, 4), (3, 6)))",-1.5422865366911045,-1.5422865366911045,0.3333333333333333,0.5,2
