Opt_Energy,T2
-1.474963846775351,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.4336100192530976,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.4044755212210962,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.5384099705498606,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4692005192809137,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.4474353255846197,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4695724811136337,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4437814104191902,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.385261076785277,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.519298192329814,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.6532537388088495,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.6144962913854242,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5004942840368294,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.7219441228040142,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.6116434887258686,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4218778587235814,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4414796842569886,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.3484984236064177,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4901652855486431,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4255145952002803,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.5646626313147918,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.3801621633753247,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.33011501222432,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.3099408392042564,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.521359223548374,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.2906155023526367,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4779940090905943,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.343228962650139,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
