Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((0, 5), (3, 8)), ((0, 6), (3, 8)), ((1, 0), (4, 0)))",-24.63699087,-24.76109294,-24.75975413,0.015401324,0.015070818,1,2,0.25,0.166666667,0.292207792,0.707792208,0.1875,"[(9, 8), (9, 8), (9, 8), (9, 8), (12, 2), (11, 12), (11, 12), (11, 12), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (11, 12), (11, 3), (11, 3), (11, 3), (2, 3), (4, 3), (4, 3), (4, 3), (2, 3), (11, 3), (11, 3), (11, 3), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (11, 12), (13, 12), (11, 12), (11, 12), (11, 12), (12, 2)]"
"(((0, 5), (3, 8)), ((0, 6), (3, 8)), ((6, 0), (9, 0)))",-24.63686935,-24.76110301,-24.75963261,0.015434003,0.015070818,1,2,0.25,0.166666667,0.281879195,0.718120805,0.1875,"[(5, 4), (11, 3), (11, 10), (11, 10), (11, 10), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (4, 10), (11, 3), (11, 3), (11, 3), (11, 10), (11, 3), (4, 3), (5, 4), (11, 10), (11, 10), (11, 10), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (4, 3), (5, 4), (11, 10), (11, 10), (11, 10), (11, 3), (2, 3), (2, 3), (2, 3), (2, 3)]"
"(((0, 5), (3, 8)), ((1, 5), (4, 9)), ((0, 5), (4, 9)))",-24.24655886,-24.76726092,-24.76126774,0.271130628,0.264925232,0,3,0,0.25,0.310679612,0.689320388,0.1875,"[(2, 3), (4, 10), (11, 10), (11, 10), (11, 10), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (11, 3), (2, 3), (4, 3), (4, 3), (4, 3), (11, 3), (11, 10), (13, 12), (11, 12), (11, 10), (11, 10), (11, 10), (13, 12), (11, 12), (11, 10), (11, 10), (11, 10), (13, 12), (11, 12), (11, 10), (11, 10), (11, 10), (13, 12), (11, 12), (11, 10), (11, 10), (11, 10), (13, 12), (11, 12), (11, 12), (11, 10), (11, 3), (2, 3), (2, 3), (2, 3), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (11, 12), (13, 12), (11, 12), (11, 12), (11, 12), (12, 2)]"
"(((0, 5), (3, 8)), ((1, 5), (4, 9)), ((0, 0), (4, 0)))",-24.51100412,-24.75865163,-24.75754718,0.061329289,0.06078348,1,2,0.25,0.166666667,0.267379679,0.732620321,0.1875,"[(5, 9), (11, 3), (11, 10), (11, 10), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 3), (4, 3), (5, 9), (5, 4), (4, 3), (4, 3), (4, 3), (5, 9), (5, 4), (4, 3), (4, 3), (4, 3), (5, 9), (5, 4), (4, 3), (4, 3), (4, 3), (5, 9), (5, 4), (5, 4), (4, 3), (5, 9), (9, 10), (9, 10), (9, 10), (9, 10), (11, 12)]"
"(((0, 5), (3, 8)), ((1, 5), (4, 9)), ((5, 0), (9, 0)))",-24.41117094,-24.75863692,-24.75750081,0.120732603,0.119944375,1,2,0.25,0.166666667,0.297297297,0.702702703,0.1875,"[(9, 10), (11, 3), (2, 3), (2, 3), (2, 3), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (11, 12), (13, 12), (12, 2), (12, 2), (12, 2), (11, 12), (11, 3), (4, 3), (4, 3), (4, 3), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (4, 3), (4, 3), (4, 3), (9, 10), (11, 10), (11, 10), (9, 10), (11, 3), (11, 10), (11, 10), (11, 10), (11, 10)]"
"(((0, 5), (3, 8)), ((1, 5), (4, 9)), ((1, 0), (4, 0)))",-24.51090185,-24.75863239,-24.75744492,0.061370425,0.060783485,1,2,0.25,0.166666667,0.291390728,0.708609272,0.1875,"[(9, 10), (11, 12), (12, 2), (12, 2), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (11, 12), (11, 3), (11, 3), (11, 3), (2, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (4, 10), (9, 10), (11, 10), (11, 10), (11, 10), (4, 10), (9, 10), (9, 10), (9, 10), (9, 10), (13, 12)]"
"(((0, 5), (3, 8)), ((1, 5), (4, 9)), ((6, 0), (9, 0)))",-24.51105105,-24.75864538,-24.75771891,0.061302951,0.060845035,1,2,0.25,0.166666667,0.262569832,0.737430168,0.1875,"[(1, 2), (11, 10), (13, 1), (13, 1), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 2), (1, 0), (12, 2), (12, 2), (12, 2), (2, 3), (2, 3), (2, 3), (13, 12), (12, 2), (2, 3), (2, 3), (2, 3), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 12), (11, 10), (11, 3), (11, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 3), (11, 12)]"
"(((0, 5), (3, 8)), ((0, 5), (4, 9)), ((0, 0), (4, 0)))",-24.45077299,-24.76505552,-24.76090636,0.098773508,0.096182707,1,2,0.25,0.166666667,0.276315789,0.723684211,0.1875,"[(5, 4), (12, 2), (11, 12), (11, 12), (11, 12), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (2, 3), (2, 3), (2, 3), (13, 12), (11, 12), (11, 12), (11, 10), (11, 10), (11, 10), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (4, 10), (5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (5, 4), (5, 4), (5, 4), (5, 4), (13, 12)]"
"(((0, 5), (3, 8)), ((0, 5), (4, 9)), ((5, 0), (9, 0)))",-24.34964378,-24.76505552,-24.76361158,0.172566917,0.17136934,1,2,0.25,0.166666667,0.290322581,0.709677419,0.1875,"[(2, 3), (11, 10), (4, 10), (4, 10), (4, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (4, 10), (4, 3), (2, 3), (9, 10), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 3), (4, 3), (4, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 3)]"
"(((0, 5), (3, 8)), ((0, 5), (4, 9)), ((1, 0), (4, 0)))",-24.45086856,-24.76508653,-24.76261037,0.098732932,0.097182958,1,2,0.25,0.166666667,0.289655172,0.710344828,0.1875,"[(4, 3), (11, 12), (12, 2), (12, 2), (12, 2), (2, 3), (4, 3), (11, 3), (4, 3), (2, 3), (4, 3), (11, 3), (4, 3), (2, 3), (2, 3), (4, 3), (13, 12), (11, 12), (11, 12), (11, 12), (13, 12), (13, 12), (13, 12), (12, 2), (11, 12), (13, 12), (11, 12), (12, 2), (11, 12), (13, 12), (11, 12), (12, 2), (12, 2), (1, 2), (1, 2), (1, 2), (11, 12), (11, 10), (11, 10), (11, 10), (11, 10), (13, 1)]"
