Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 6), (2, 7))",-24.60377466,-24.60377466,-24.60253734,0,1.53E-06,0.25,0.75,0.0625,"[(5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4)]"
"((0, 5), (3, 8))",-24.49694387,-24.49694387,-24.49570654,0,1.53E-06,0.24691358,0.75308642,0.0625,"[(11, 10), (12, 2), (2, 3), (2, 3), (2, 3), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 3), (2, 3), (2, 3), (2, 3), (11, 10), (12, 2)]"
"((0, 5), (2, 7))",-24.48242722,-24.48242722,-24.48118988,0,1.53E-06,0.243902439,0.756097561,0.0625,"[(11, 10), (11, 3), (11, 3), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10)]"
"((0, 6), (2, 7))",-24.47557526,-24.47557526,-24.47433794,0,1.53E-06,0.285714286,0.714285714,0.0625,"[(7, 8), (5, 9), (5, 6), (5, 6), (5, 6), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (5, 6), (5, 6), (5, 6), (7, 8), (9, 8), (9, 8), (7, 8), (5, 9)]"
"((1, 5), (2, 7))",-24.47557526,-24.47557526,-24.47433794,0,1.53E-06,0.256410256,0.743589744,0.0625,"[(4, 10), (4, 3), (4, 3), (4, 3), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (11, 12)]"
"((1, 6), (4, 9))",-24.47531485,-24.47531485,-24.47407754,0,1.53E-06,0.243902439,0.756097561,0.0625,"[(11, 3), (11, 10), (11, 10), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (11, 12), (11, 10), (11, 10), (11, 10), (11, 3)]"
"((0, 6), (4, 9))",-24.47530197,-24.47530197,-24.47406465,0,1.53E-06,0.263157895,0.736842105,0.0625,"[(9, 10), (5, 9), (5, 9), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 10), (9, 8), (5, 9), (5, 9), (5, 9), (9, 10)]"
"((1, 5), (3, 8))",-24.47530197,-24.47530197,-24.47406465,0,1.53E-06,0.277777778,0.722222222,0.0625,"[(1, 2), (11, 12), (11, 3), (11, 3), (11, 3), (12, 2), (1, 2), (2, 3), (1, 2), (12, 2), (1, 2), (2, 3), (1, 2), (11, 3), (11, 3), (11, 3), (12, 2), (12, 2), (1, 2), (11, 12)]"
"((1, 6), (3, 8))",-24.38917552,-24.47531485,-24.47402139,0.007419985,0.007198821,0.285714286,0.714285714,0.0625,"[(4, 10), (9, 10), (9, 10), (9, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (11, 10), (9, 10), (9, 10), (9, 10), (4, 10)]"
"((0, 6), (3, 8))",-24.38130464,-24.47530197,-24.4740104,0.008835499,0.008594358,0.281690141,0.718309859,0.0625,"[(9, 10), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (4, 10), (4, 3), (4, 3), (4, 3), (9, 10), (11, 3)]"
"((1, 5), (4, 9))",-24.31753626,-24.47530197,-24.47393154,0.02489002,0.024459482,0.3125,0.6875,0.0625,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (5, 9), (5, 9), (5, 9), (5, 4), (11, 10)]"
"((0, 5), (4, 9))",-24.26276533,-24.49694387,-24.49178096,0.054839592,0.05244816,0.3125,0.6875,0.0625,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (5, 9), (5, 9), (5, 9), (5, 4), (11, 10)]"
"((0, 0), (2, 0))",-24.47504931,-24.47504931,-24.47381199,0,1.53E-06,0.19047619,0.80952381,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((5, 0), (7, 0))",-24.47504931,-24.47504931,-24.47381199,0,1.53E-06,0.210526316,0.789473684,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((1, 0), (2, 0))",-24.46839638,-24.47504931,-24.47381199,4.43E-05,2.93E-05,0.19047619,0.80952381,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((6, 0), (7, 0))",-24.47504931,-24.47504931,-24.47381199,0,1.53E-06,0.210526316,0.789473684,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"(((1, 6), (2, 7)), ((0, 5), (3, 8)))",-24.62518444,-24.62518444,-24.62394712,0,1.53E-06,0.266666667,0.733333333,0.125,"[(4, 3), (4, 10), (4, 10), (4, 10), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (4, 3), (4, 3), (4, 3), (2, 3), (11, 12), (11, 10), (11, 10), (4, 10), (11, 12), (13, 1), (13, 12), (13, 12), (13, 12), (12, 2), (2, 3), (1, 2), (2, 3), (12, 2), (2, 3), (1, 2), (2, 3), (12, 2), (12, 2), (2, 3), (12, 2), (12, 2), (12, 2), (1, 2)]"
"(((1, 6), (2, 7)), ((0, 5), (2, 7)))",-24.60544744,-24.60544744,-24.60421012,0,1.53E-06,0.322033898,0.677966102,0.125,"[(2, 3), (4, 10), (9, 10), (9, 10), (9, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (4, 10), (4, 10), (4, 10), (4, 3), (4, 3), (4, 3), (4, 3), (9, 10), (11, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (4, 3), (11, 3), (2, 3), (2, 3), (2, 3), (4, 3)]"
"(((1, 6), (2, 7)), ((0, 6), (2, 7)))",-24.60379866,-24.60379866,-24.60256134,0,1.53E-06,0.264285714,0.735714286,0.125,"[(4, 3), (5, 4), (5, 4), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (5, 4), (5, 6), (5, 6), (5, 6), (5, 4), (4, 3), (4, 3), (4, 3), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (5, 4), (5, 4), (5, 4), (4, 3)]"
"(((1, 6), (2, 7)), ((1, 5), (2, 7)))",-24.60379866,-24.60379866,-24.60256134,0,1.53E-06,0.299212598,0.700787402,0.125,"[(9, 8), (6, 8), (6, 8), (6, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (6, 8), (5, 9), (5, 9), (5, 9), (5, 6), (5, 9), (5, 6), (5, 6), (5, 6), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (9, 8), (7, 8), (9, 8), (9, 8), (9, 8), (6, 8)]"
"(((1, 6), (2, 7)), ((1, 6), (4, 9)))",-24.60377642,-24.60377642,-24.6025391,0,1.53E-06,0.285714286,0.714285714,0.125,"[(6, 8), (9, 8), (9, 8), (9, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (9, 8), (7, 8), (6, 8), (6, 8), (6, 8), (5, 9), (5, 9), (5, 9), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (5, 9), (9, 10), (5, 9), (5, 9), (5, 9), (9, 8)]"
"(((1, 6), (2, 7)), ((0, 6), (4, 9)))",-24.60390928,-24.60390928,-24.60267197,0,1.53E-06,0.26744186,0.73255814,0.125,"[(5, 4), (5, 6), (5, 6), (5, 6), (5, 9), (5, 4), (5, 9), (5, 6), (5, 9), (5, 4), (5, 9), (5, 6), (5, 9), (5, 4), (5, 4), (5, 9), (5, 6), (5, 6), (5, 6), (5, 4), (4, 3), (11, 10), (4, 10), (4, 3), (4, 3), (4, 3), (11, 10), (4, 10), (11, 10), (11, 10), (11, 10), (11, 10), (11, 3), (11, 10), (11, 10), (11, 10), (11, 10), (4, 10), (4, 3), (4, 3), (4, 3), (11, 10), (4, 10), (4, 10), (4, 3), (11, 10)]"
"(((1, 6), (2, 7)), ((1, 5), (3, 8)))",-24.60390928,-24.60390928,-24.60267197,0,1.53E-06,0.283687943,0.716312057,0.125,"[(4, 3), (9, 8), (7, 8), (7, 8), (7, 8), (6, 8), (7, 8), (6, 8), (9, 8), (6, 8), (7, 8), (6, 8), (9, 8), (6, 8), (7, 8), (7, 8), (6, 8), (7, 8), (7, 8), (7, 8), (9, 8), (5, 9), (5, 4), (4, 3), (9, 10), (9, 10), (9, 10), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 3), (5, 4), (5, 4), (4, 3), (5, 4), (5, 4), (5, 4), (4, 10)]"
"(((1, 6), (2, 7)), ((1, 6), (3, 8)))",-24.48556701,-24.60377642,-24.60634251,0.013973465,0.014586719,0.25,0.75,0.125,"[(4, 3), (5, 9), (5, 4), (4, 3), (9, 10), (9, 10), (9, 10), (4, 10), (4, 3), (5, 4), (4, 3), (9, 8), (4, 10), (4, 3), (5, 4), (5, 4), (4, 3), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (5, 9), (9, 8), (9, 10), (9, 10), (9, 10), (5, 9)]"
"(((1, 6), (2, 7)), ((0, 6), (3, 8)))",-24.49403077,-24.60390929,-24.60255621,0.012073291,0.011777773,0.285714286,0.714285714,0.125,"[(2, 3), (2, 3), (2, 3), (5, 4), (5, 6), (5, 6), (5, 6), (5, 9), (5, 4), (5, 9), (5, 6), (5, 9), (5, 4), (5, 9), (5, 6), (5, 9), (5, 4), (5, 4), (5, 9), (5, 6), (5, 6), (5, 6), (5, 4), (11, 3), (4, 3), (4, 3), (4, 3), (2, 3), (4, 3), (4, 3), (4, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (4, 3), (11, 3), (2, 3), (2, 3), (2, 3), (4, 3)]"
"(((1, 6), (2, 7)), ((1, 5), (4, 9)))",-24.43637131,-24.60390928,-24.60347655,0.028068974,0.027924164,0.25477707,0.74522293,0.125,"[(5, 6), (11, 10), (11, 12), (11, 12), (11, 12), (11, 3), (11, 12), (11, 3), (11, 10), (11, 3), (11, 12), (11, 3), (11, 10), (11, 3), (11, 12), (11, 12), (11, 3), (11, 12), (11, 12), (11, 12), (11, 10), (4, 10), (5, 4), (5, 6), (9, 10), (9, 10), (9, 10), (5, 9), (5, 6), (5, 4), (5, 6), (5, 9), (5, 6), (5, 4), (5, 4), (5, 6), (4, 10), (4, 10), (4, 10), (9, 10)]"
"(((1, 6), (2, 7)), ((0, 5), (4, 9)))",-24.39797114,-24.62518444,-24.62025849,0.051625886,0.049411667,0.281690141,0.718309859,0.125,"[(5, 9), (9, 8), (9, 8), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (6, 8), (6, 8), (6, 8), (9, 10), (5, 9), (5, 9), (5, 6), (9, 10), (11, 12), (12, 2), (12, 2), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (2, 3), (2, 3), (2, 3), (13, 12), (11, 12), (11, 12), (11, 3), (13, 12)]"
"(((1, 6), (2, 7)), ((0, 0), (2, 0)))",-24.6050888,-24.6050888,-24.60385147,0,1.53E-06,0.260869565,0.739130435,0.125,"[(2, 3), (13, 12), (12, 2), (2, 3), (13, 1), (13, 1), (13, 1), (1, 2), (2, 3), (12, 2), (2, 3), (1, 2), (2, 3), (12, 2), (12, 2), (2, 3), (4, 3), (4, 3), (4, 3), (4, 3), (13, 1), (13, 1), (13, 1), (13, 12)]"
"(((1, 6), (2, 7)), ((5, 0), (7, 0)))",-24.60508879,-24.60508879,-24.60385148,0,1.53E-06,0.25,0.75,0.125,"[(11, 10), (11, 12), (11, 12), (11, 12), (11, 3), (11, 12), (11, 3), (11, 10), (11, 3), (11, 12), (11, 3), (11, 10), (11, 3), (11, 12), (11, 12), (11, 3), (11, 10), (11, 10), (11, 10), (9, 10), (9, 10), (9, 10), (9, 10), (11, 12)]"
"(((1, 6), (2, 7)), ((1, 0), (2, 0)))",-24.60108183,-24.62431244,-24.62009709,0.000539661,0.00036158,0.25,0.75,0.125,"[(5, 9), (5, 4), (5, 4), (5, 4), (5, 6), (5, 4), (5, 6), (5, 9), (5, 6), (5, 4), (5, 6), (5, 9), (5, 6), (5, 4), (5, 4), (5, 6), (5, 9), (5, 9), (5, 9), (5, 4), (5, 6), (5, 6), (5, 6), (5, 6)]"
"(((1, 6), (2, 7)), ((6, 0), (7, 0)))",-24.62431244,-24.62431244,-24.62307512,0,1.53E-06,0.255319149,0.744680851,0.125,"[(5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4), (4, 3), (4, 3), (4, 3), (4, 3)]"
"(((0, 5), (3, 8)), ((0, 5), (2, 7)))",-24.5030559,-24.5030559,-24.50181859,0,1.53E-06,0.260162602,0.739837398,0.125,"[(1, 2), (11, 3), (11, 12), (11, 12), (11, 12), (11, 10), (12, 2), (1, 2), (2, 3), (1, 2), (12, 2), (1, 2), (2, 3), (1, 2), (12, 2), (12, 2), (1, 2), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 12), (11, 10), (11, 12), (11, 12), (11, 12), (11, 3)]"
"(((0, 5), (3, 8)), ((0, 6), (2, 7)))",-24.49741117,-24.49741117,-24.49617386,0,1.53E-06,0.263157895,0.736842105,0.125,"[(11, 10), (13, 1), (1, 2), (1, 2), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (13, 1), (1, 0), (13, 1), (13, 1), (13, 1), (1, 2), (12, 2), (2, 3), (2, 3), (2, 3), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 12), (11, 10), (11, 12), (11, 12), (11, 12), (11, 3)]"
"(((0, 5), (3, 8)), ((1, 5), (2, 7)))",-24.49741117,-24.49741117,-24.49617386,0,1.53E-06,0.279220779,0.720779221,0.125,"[(2, 3), (5, 9), (9, 10), (9, 10), (9, 10), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 10), (9, 8), (4, 10), (4, 10), (4, 10), (5, 4), (11, 10), (11, 10), (11, 10), (4, 10), (4, 3), (2, 3), (11, 10), (11, 10), (11, 10), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 10)]"
