Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,singles,doubles,singles_ratio,doubles_ratio,param_ratio,cnot_con
"((1, 6), (4, 9))",-24.66581507,-24.66968888,-24.66795425,1.50E-05,4.58E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9)]"
"((0, 5), (2, 7))",-24.6240004,-24.62854733,-24.62711789,2.07E-05,9.72E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((0, 5), (4, 9))",-24.61592361,-24.62011233,-24.61887224,1.75E-05,8.69E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10)]"
"((1, 5), (4, 9))",-24.61323336,-24.61632422,-24.61519109,9.55E-06,3.83E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10)]"
"((0, 6), (4, 9))",-24.61230576,-24.61632421,-24.61514934,1.61E-05,8.09E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 4), (6, 7), (7, 6), (6, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4)]"
"((1, 5), (2, 7))",-24.61169845,-24.61499895,-24.61387437,1.09E-05,4.73E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 11), (9, 8), (8, 9), (9, 8), (8, 5), (8, 9), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (8, 9), (8, 5), (9, 8), (8, 9), (9, 8), (8, 11)]"
"((0, 6), (3, 8))",-24.60826556,-24.61499895,-24.61381899,4.53E-05,3.08E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9)]"
"((1, 6), (3, 8))",-24.6079915,-24.61416185,-24.61302776,3.81E-05,2.54E-05,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (6, 7)]"
"((1, 6), (2, 7))",-24.58743734,-24.61416185,-24.61297131,0.000714199,0.000651984,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(13, 12), (10, 12), (12, 10), (10, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (10, 12), (12, 10), (10, 12), (13, 12)]"
"((0, 6), (2, 7))",-24.58664779,-24.61499895,-24.6137175,0.000803788,0.000732769,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(4, 7), (10, 7), (7, 10), (10, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (10, 7), (7, 10), (10, 7), (4, 7)]"
"((0, 5), (3, 8))",-24.57613691,-24.62854733,-24.62615243,0.002746852,0.002501553,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"((1, 5), (3, 8))",-24.57231534,-24.61499895,-24.61374467,0.00182189,0.00171639,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 5), (9, 8), (8, 9), (9, 8), (8, 11), (8, 9), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (8, 9), (8, 11), (9, 8), (8, 9), (9, 8), (8, 5)]"
"((0, 0), (4, 0))",-24.61040007,-24.61307943,-24.61197583,7.18E-06,2.48E-06,0.25,0.75,1,0,0.25,0,0.0625,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((5, 0), (9, 0))",-24.61062273,-24.61307943,-24.61197579,6.04E-06,1.83E-06,0.25,0.75,1,0,0.25,0,0.0625,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"((1, 0), (4, 0))",-24.59975588,-24.61307943,-24.6119759,0.000177517,0.000149329,0.25,0.75,1,0,0.25,0,0.0625,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((6, 0), (9, 0))",-24.61086479,-24.61307943,-24.61197576,4.90E-06,1.23E-06,0.25,0.75,1,0,0.25,0,0.0625,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"(((1, 6), (4, 9)), ((0, 5), (2, 7)))",-24.67625219,-24.68511867,-24.68301089,7.86E-05,4.57E-05,0.37704918,0.62295082,0,2,0,0.166666667,0.125,"[(1, 2), (4, 7), (1, 4), (2, 1), (7, 4), (4, 7), (7, 4), (4, 1), (2, 1), (7, 4), (4, 7), (7, 4), (4, 1), (2, 1), (7, 4), (4, 7), (7, 4), (4, 1), (2, 1), (7, 4), (4, 7), (7, 4), (4, 1), (1, 4), (1, 2), (4, 7), (8, 11), (9, 8), (8, 9), (9, 8), (8, 5), (8, 9), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (8, 9), (8, 5), (9, 8), (8, 9), (9, 8), (8, 11)]"
