Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((0, 4), (2, 6))",-1.989932146,-1.989932146,-1.988969291,0,9.27089E-07,0.266666667,0.733333333,0.0625,"[(9, 8), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (5, 9), (5, 4), (5, 4), (5, 4), (9, 8), (4, 10)]"
"((1, 4), (3, 6))",-1.988335556,-1.988335556,-1.987372708,0,9.27077E-07,0.25,0.75,0.0625,"[(5, 9), (9, 8), (9, 8), (9, 8), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 8), (9, 10), (9, 8), (9, 8), (9, 8), (5, 9)]"
"((0, 5), (2, 7))",-1.988335556,-1.988335556,-1.987372708,0,9.27077E-07,0.243902439,0.756097561,0.0625,"[(11, 10), (11, 3), (11, 3), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10)]"
"((1, 5), (3, 7))",-1.986379314,-1.986379314,-1.985416454,0,9.27099E-07,0.317460317,0.682539683,0.0625,"[(5, 9), (5, 4), (5, 4), (5, 4), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (11, 10)]"
"((0, 4), (3, 7))",-1.984108927,-1.984108927,-1.983146068,0,9.27096E-07,0.317460317,0.682539683,0.0625,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (5, 9), (5, 9), (5, 9), (5, 4), (11, 10)]"
"((1, 4), (2, 7))",-1.981267586,-1.981267586,-1.980304732,0,9.27087E-07,0.281690141,0.718309859,0.0625,"[(2, 3), (11, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 10)]"
"((4, 5), (6, 7))",-1.921405987,-1.978414403,-1.977261362,0.003249959,0.003119823,0.25,0.75,0.0625,"[(5, 4), (4, 10), (4, 10), (4, 10), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 10), (4, 3), (4, 10), (4, 10), (4, 10), (5, 4)]"
"((0, 1), (2, 3))",-1.856097846,-1.978414403,-1.976880983,0.01496134,0.014588566,0.3125,0.6875,0.0625,"[(7, 8), (5, 9), (5, 6), (5, 6), (5, 6), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (6, 8), (5, 6), (5, 6), (5, 6), (7, 8), (5, 9)]"
"((1, 5), (2, 6))",-1.706564938,-2.009769167,-2.000632354,0.091932805,0.086475645,0.24691358,0.75308642,0.0625,"[(5, 4), (9, 8), (6, 8), (6, 8), (6, 8), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 6), (5, 4), (6, 8), (6, 8), (6, 8), (9, 8)]"
"((1, 5), (3, 6))",-1.654808698,-1.976663522,-1.975685021,0.103590528,0.102961615,0.263157895,0.736842105,0.0625,"[(1, 0), (13, 12), (12, 2), (12, 2), (12, 2), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 0), (12, 2), (12, 2), (12, 2), (13, 1), (13, 1), (1, 0), (13, 12)]"
"((0, 5), (2, 6))",-1.647950701,-1.976663524,-1.975687954,0.10805212,0.107411707,0.307692308,0.692307692,0.0625,"[(11, 10), (4, 10), (4, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (11, 10), (9, 10), (4, 10), (4, 10), (4, 10), (11, 10)]"
"((0, 5), (3, 6))",-1.623073955,-1.981267586,-1.979941532,0.128302677,0.127354468,0.281690141,0.718309859,0.0625,"[(1, 2), (1, 0), (1, 0), (1, 0), (13, 1), (1, 0), (13, 1), (1, 2), (13, 1), (1, 0), (13, 1), (1, 2), (13, 1), (1, 0), (1, 0), (13, 1), (1, 0), (1, 0), (1, 0), (1, 2)]"
"((0, 0), (2, 0))",-1.97666353,-1.97666353,-1.975700672,0,9.27096E-07,0.19047619,0.80952381,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((1, 0), (3, 0))",-1.976663529,-1.976663529,-1.975700671,0,9.27095E-07,0.19047619,0.80952381,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((4, 0), (6, 0))",-1.97666353,-1.97666353,-1.975700672,0,9.27096E-07,0.210526316,0.789473684,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((5, 0), (7, 0))",-1.976663529,-1.976663529,-1.975700671,0,9.27095E-07,0.210526316,0.789473684,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"(((0, 4), (2, 6)), ((1, 4), (3, 6)))",-2.002605592,-2.002605592,-2.001642746,0,9.27072E-07,0.25974026,0.74025974,0.125,"[(5, 6), (9, 10), (5, 9), (5, 6), (4, 10), (4, 10), (4, 10), (5, 4), (5, 6), (5, 9), (5, 6), (5, 4), (5, 6), (5, 9), (5, 9), (5, 6), (4, 10), (4, 10), (4, 10), (5, 4), (9, 10), (9, 8), (6, 8), (6, 8), (6, 8), (5, 9), (5, 4), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 4), (6, 8), (6, 8), (6, 8), (5, 9), (5, 9), (5, 4), (9, 8)]"
"(((0, 4), (2, 6)), ((0, 5), (2, 7)))",-2.002605592,-2.002605592,-2.001642747,0,9.27071E-07,0.294117647,0.705882353,0.125,"[(4, 3), (2, 3), (2, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (4, 3), (11, 3), (4, 3), (4, 3), (4, 3), (2, 3), (1, 2), (11, 12), (13, 1), (13, 1), (13, 1), (13, 12), (11, 12), (12, 2), (11, 12), (13, 12), (11, 12), (12, 2), (11, 12), (13, 12), (13, 12), (11, 12), (13, 12), (13, 12), (13, 12), (12, 2)]"
"(((0, 4), (2, 6)), ((1, 5), (3, 7)))",-1.999686066,-1.999686066,-1.998723206,0,9.271E-07,0.30075188,0.69924812,0.125,"[(2, 3), (4, 10), (9, 10), (9, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (4, 10), (11, 10), (9, 10), (9, 10), (9, 10), (4, 10), (11, 3), (11, 3), (11, 3), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (12, 2), (2, 3), (2, 3), (2, 3), (11, 3), (13, 12)]"
"(((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.994776888,-1.994776888,-1.993814029,0,9.27099E-07,0.292307692,0.707692308,0.125,"[(2, 3), (9, 10), (11, 10), (11, 10), (11, 10), (4, 10), (9, 10), (4, 10), (11, 10), (4, 10), (9, 10), (4, 10), (11, 10), (4, 10), (9, 10), (9, 10), (4, 10), (9, 10), (9, 10), (9, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 10)]"
"(((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.997410532,-1.997410532,-1.996447673,0,9.27098E-07,0.3125,0.6875,0.125,"[(4, 3), (2, 3), (2, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (4, 3), (11, 3), (2, 3), (2, 3), (2, 3), (4, 3), (5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (11, 10)]"
"(((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.931553017,-1.990715289,-1.989745545,0.003500174,0.00338637,0.273972603,0.726027397,0.125,"[(6, 8), (9, 8), (9, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (6, 8), (7, 8), (9, 8), (9, 8), (9, 8), (6, 8), (5, 6), (5, 4), (5, 4), (5, 4), (5, 9), (5, 4), (5, 9), (5, 6), (5, 9), (5, 4), (5, 9), (5, 6), (5, 9), (5, 4), (5, 4), (5, 9), (5, 6), (5, 6), (5, 6), (5, 4)]"
