Operator,Noisy_val_approx,Ideal_val,difference,REM_seq,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((0, 5), (2, 7)), ((4, 5), (6, 7)))",-2.039084854,-2.107041806,0.004618147,-2.106412501,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((0, 1), (2, 3)))",-1.930788667,-2.107054099,0.031069503,-2.104938431,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((1, 5), (2, 6)))",-1.784176433,-2.133752096,0.122203144,-2.126557276,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((0, 5), (3, 6)))",-1.664349099,-2.107168738,0.196089233,-2.106705731,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (3, 7)), ((0, 4), (3, 7)))",-2.108542347,-2.108542347,0,-2.10799909,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (3, 7)), ((1, 4), (2, 7)))",-2.107542327,-2.107542327,0,-2.107000924,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (3, 7)), ((4, 5), (6, 7)))",-2.038274825,-2.106128041,0.004604059,-2.105477444,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.928892388,-2.106128049,0.031412479,-2.105800632,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.776392495,-2.12615748,0.122335545,-2.123535088,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.667952577,-2.107542334,0.193239155,-2.108457748,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (3, 7)), ((1, 4), (2, 7)))",-2.105766096,-2.105766096,0,-2.105219186,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (3, 7)), ((4, 5), (6, 7)))",-2.037069569,-2.105203502,0.004642233,-2.104484876,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.929480671,-2.105203504,0.030878514,-2.103961563,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
