Operator,Noisy_val_approx,Ideal_val,difference,REM_seq,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.785359888,-2.136894168,0.12357635,-2.133270149,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.669968589,-2.113872657,0.197050821,-2.111765924,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-2.112785089,-2.112785089,0,-2.112255622,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-2.043482978,-2.112509326,0.004764637,-2.111914952,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.936055304,-2.112523159,0.031140904,-2.111343658,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.788501274,-2.139493928,0.123195843,-2.130309546,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.670636065,-2.112762059,0.195475395,-2.112834716,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-2.040322312,-2.108557886,0.004656094,-2.107886148,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.93132194,-2.108488006,0.031387815,-2.108618468,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.783722015,-2.135952517,0.124066326,-2.129418009,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.664326546,-2.108448684,0.197244473,-2.108513794,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.871419738,-2.108167978,0.056049729,-2.107471681,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.727753614,-2.135258855,0.166060522,-2.126404252,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.616434184,-2.108455038,0.24208452,-2.107336412,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.664251146,-2.135276668,0.221865043,-2.12412343,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.581117987,-2.108549986,0.278184514,-2.106647099,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.489617878,-2.135920227,0.417706726,-2.127652566,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-2.1114647,-2.1114647,0,-2.110930906,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-2.041312808,-2.10990254,0.004704551,-2.109252835,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.931559208,-2.109902522,0.031806338,-2.109005655,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.78053826,-2.130059248,0.122164921,-2.126490075,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.669307835,-2.1114647,0.195502694,-2.110062292,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-2.040707794,-2.109114002,0.004679409,-2.108427033,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.930112427,-2.108991,0.031997544,-2.108336169,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.778946622,-2.1299672,0.123215446,-2.125676949,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.668104145,-2.110228692,0.195474115,-2.111053984,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.86845258,-2.107356028,0.057074858,-2.105094517,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.723766513,-2.127986326,0.163393657,-2.123054807,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.615936688,-2.108991011,0.243102565,-2.104868859,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.657211505,-2.127986337,0.221628942,-2.120418141,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.58103651,-2.109113989,0.278865823,-2.107156084,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 5), (3, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.486747969,-2.129967213,0.413730997,-2.124580055,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-2.039299437,-2.10792815,0.0047099,-2.107149675,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.930334079,-2.107790436,0.031490758,-2.10630426,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.781394044,-2.131258987,0.122405478,-2.125332406,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.666808853,-2.108086919,0.194726331,-2.108795304,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.868808017,-2.106947039,0.056710194,-2.105600997,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.726014813,-2.129891169,0.163116111,-2.121416366,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.613778081,-2.10779043,0.244048202,-2.10603417,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.658004749,-2.12989115,0.222676776,-2.118698956,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.581400014,-2.107928163,0.277231892,-2.105227929,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.48617168,-2.13119464,0.416054619,-2.124147596,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.867573543,-2.104862753,0.056306169,-2.103119718,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (2, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.724423322,-2.129166705,0.163817205,-2.121162134,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (2, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.611529502,-2.105258147,0.243767975,-2.10415133,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (2, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.659668756,-2.128984412,0.220257186,-2.11803157,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (2, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.579470637,-2.105258159,0.276452518,-2.103295178,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.483798224,-2.129817508,0.417340915,-2.123031954,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((4, 5), (6, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.607672224,-2.127463518,0.270182989,-2.117896597,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((4, 5), (6, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.522082733,-2.104855055,0.339623579,-2.102274355,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((4, 5), (6, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.455227634,-2.12898441,0.453948192,-2.119964979,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 1), (2, 3)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.382431501,-2.129166707,0.557613469,-2.115585554,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)))",-2.129986164,-2.129986164,0,-2.129495354,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)))",-2.128323217,-2.128323217,0,-2.127828744,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)))",-2.124678779,-2.124678779,0,-2.124174162,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)))",-2.05269966,-2.123683824,0.005038752,-2.123270012,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (2, 7)), ((0, 1), (2, 3)))",-1.939988246,-2.12368382,0.033744064,-2.122358131,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)))",-1.795740848,-2.150152179,0.125607391,-2.142194764,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)))",-1.679926573,-2.124678761,0.197804509,-2.122780438,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-2.125427451,-2.125427451,0,-2.124922356,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-2.124881726,-2.124881726,0,-2.124379414,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-2.05168706,-2.122524159,0.005017895,-2.122095203,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.939916904,-2.122516116,0.033342472,-2.122573023,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.788421239,-2.142464888,0.125346905,-2.138943903,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.682256882,-2.124912898,0.195944349,-2.127055769,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-2.122176547,-2.122176547,0,-2.121665414,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-2.049698601,-2.120632588,0.00503163,-2.120166091,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.940084768,-2.120621483,0.032593506,-2.120076246,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.792154988,-2.143879491,0.123710126,-2.137734914,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.676566383,-2.122205731,0.198594429,-2.12168444,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-2.048304552,-2.118832565,0.004974201,-2.118323243,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.938669876,-2.118739831,0.032425189,-2.118166421,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.786599297,-2.141926362,0.126257324,-2.135693294,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.674699952,-2.120203042,0.198473003,-2.120883721,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.874787887,-2.117149615,0.058739207,-2.117064192,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.73014279,-2.140127972,0.168087849,-2.131591037,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.622015252,-2.118776707,0.246771943,-2.117889225,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.661342505,-2.140112774,0.229220971,-2.133324044,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.581824234,-2.118848849,0.288395437,-2.119559174,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.488353484,-2.141963624,0.427206215,-2.137001881,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-2.125427445,-2.125427445,0,-2.124922362,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-2.124912893,-2.124912893,0,-2.124410697,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-2.052341468,-2.122516108,0.00492448,-2.12157322,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.939380369,-2.12252416,0.033541648,-2.122195164,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.789168348,-2.142464905,0.124818457,-2.140142177,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.681152772,-2.124881726,0.196895384,-2.124212325,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-2.122205731,-2.122205731,0,-2.121694729,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-2.050115892,-2.120621483,0.004971038,-2.120150234,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.941059256,-2.120632595,0.032246584,-2.119370214,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.792323945,-2.143879485,0.123591298,-2.136323171,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.679760751,-2.122176547,0.195731737,-2.121832553,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-2.04880656,-2.118848853,0.004905923,-2.118316433,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.939287181,-2.118776699,0.032216487,-2.120833918,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.788342486,-2.141963611,0.125047901,-2.134265902,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.677086936,-2.120203042,0.196351883,-2.121263252,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.876851703,-2.117149607,0.057743083,-2.117234823,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.731676865,-2.140112769,0.166819888,-2.133772708,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.623449071,-2.118739838,0.245312944,-2.11751884,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.665836323,-2.140127952,0.224952549,-2.133048529,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.587993946,-2.118832561,0.281789636,-2.119567652,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.491495259,-2.141926368,0.423060628,-2.132066527,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-2.120916456,-2.120916456,0,-2.120402687,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-2.047708471,-2.117719305,0.004901517,-2.117191496,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.937520735,-2.117719305,0.032471525,-2.119182687,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.782697262,-2.134616042,0.123846828,-2.130423451,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.680685779,-2.120916456,0.193803049,-2.11923563,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-2.049022609,-2.119185516,0.004922834,-2.118637888,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.934658207,-2.11906594,0.034006212,-2.121472623,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.782321002,-2.136263125,0.125275027,-2.129969522,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.679043739,-2.12219535,0.19638335,-2.121429053,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.874615596,-2.11580933,0.058174418,-2.114276092,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.722335613,-2.132823682,0.168500454,-2.126788895,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.623593644,-2.119065963,0.245492819,-2.117007643,56,36,56,52,32,24,4,92,0.347826087,0.260869565,0.4,0.518518519,0.481481481
