Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-1.642660103,-1.648888521,-1.645487869,3.88E-05,8.00E-06,0,1,0,0.1,0.382352941,0.617647059,0.071428571,"[(2, 1), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (2, 3), (2, 1), (3, 5)]"
"((0, 5), (2, 7))",-1.616738963,-1.620740514,-1.618855337,1.60E-05,4.48E-06,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((1, 4), (3, 6))",-1.608940018,-1.620740522,-1.618815408,0.000139252,9.75E-05,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(8, 9), (11, 8), (8, 11), (11, 8), (8, 5), (8, 11), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (8, 11), (8, 5), (11, 8), (8, 11), (11, 8), (8, 9)]"
"((1, 5), (3, 7))",-1.606951474,-1.612576881,-1.61083776,3.16E-05,1.51E-05,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((0, 4), (2, 6))",-1.606297222,-1.613852812,-1.610995229,5.71E-05,2.21E-05,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4)]"
"((0, 5), (3, 6))",-1.597581323,-1.605716928,-1.603135072,6.62E-05,3.08E-05,0,1,0,0.1,0.333333333,0.666666667,0.071428571,"[(11, 8), (5, 8), (8, 5), (5, 8), (8, 9), (8, 11), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (8, 11), (8, 9), (5, 8), (8, 5), (5, 8), (11, 8)]"
"((1, 4), (2, 7))",-1.567620105,-1.60571693,-1.601988709,0.001451368,0.001181201,0,1,0,0.1,0.333333333,0.666666667,0.071428571,"[(10, 7), (4, 7), (7, 4), (4, 7), (7, 6), (7, 10), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (7, 10), (7, 6), (4, 7), (7, 4), (4, 7), (10, 7)]"
"((0, 4), (3, 7))",-1.561298949,-1.607026899,-1.601073198,0.002091045,0.001581991,0,1,0,0.1,0.382352941,0.617647059,0.071428571,"[(13, 14), (12, 15), (12, 13), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (12, 13), (13, 14), (12, 15)]"
"((4, 5), (6, 7))",-1.559269123,-1.578986123,-1.577642053,0.00038876,0.000337565,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"((0, 1), (2, 3))",-1.53861677,-1.578986123,-1.577729814,0.001629685,0.00152983,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4)]"
"((0, 0), (2, 0))",-1.574576431,-1.576599288,-1.57561653,4.09E-06,1.08E-06,1,0,0.25,0,0.25,0.75,0.071428571,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((1, 0), (3, 0))",-1.571808557,-1.576599288,-1.575616545,2.30E-05,1.45E-05,1,0,0.25,0,0.25,0.75,0.071428571,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((4, 0), (6, 0))",-1.574562071,-1.576599288,-1.575616477,4.15E-06,1.11E-06,1,0,0.25,0,0.25,0.75,0.071428571,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"((5, 0), (7, 0))",-1.574786499,-1.576599288,-1.575616503,3.29E-06,6.89E-07,1,0,0.25,0,0.25,0.75,0.071428571,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"(((1, 5), (2, 6)), ((0, 5), (2, 7)))",-1.71390348,-1.726945259,-1.71976339,0.000170088,3.43E-05,0,2,0,0.2,0.40625,0.59375,0.142857143,"[(7, 6), (4, 7), (7, 4), (4, 7), (7, 10), (7, 4), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (7, 4), (7, 10), (4, 7), (7, 4), (4, 7), (7, 6), (12, 10), (7, 10), (10, 7), (7, 10), (10, 12), (12, 10), (10, 12), (12, 15), (10, 12), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (10, 12), (10, 7), (12, 15)]"
"(((1, 5), (2, 6)), ((1, 4), (3, 6)))",-1.695867412,-1.726945255,-1.717277082,0.000965832,0.000458374,0,2,0,0.2,0.420289855,0.579710145,0.142857143,"[(5, 3), (8, 9), (5, 8), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (5, 8), (5, 3), (2, 3), (3, 2), (2, 3), (5, 3), (8, 9), (11, 8), (8, 11), (11, 8), (8, 9), (5, 8), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (5, 8), (5, 3), (8, 9)]"
"(((1, 5), (2, 6)), ((1, 5), (3, 7)))",-1.644338496,-1.653000794,-1.649784696,7.50E-05,2.97E-05,0,2,0,0.2,0.360655738,0.639344262,0.142857143,"[(10, 7), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (13, 12), (10, 12), (12, 10), (7, 10), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (7, 10), (7, 4), (10, 7), (7, 10), (10, 7), (7, 6), (12, 13)]"
