Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,singles,doubles,singles_ratio,doubles_ratio,param_ratio,cnot_con
"((1, 6), (4, 9))",-24.69609954,-24.70021125,-24.69885579,1.69E-05,7.60E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9)]"
"((0, 5), (2, 7))",-24.67535546,-24.68025697,-24.67900968,2.40E-05,1.34E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((0, 5), (4, 9))",-24.67402659,-24.67862024,-24.67742194,2.11E-05,1.15E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10)]"
"((1, 5), (4, 9))",-24.67078272,-24.67439609,-24.67332429,1.31E-05,6.46E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10)]"
"((0, 6), (4, 9))",-24.66981496,-24.67439608,-24.67327,2.10E-05,1.19E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 4), (6, 7), (7, 6), (6, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4)]"
"((1, 5), (2, 7))",-24.66959484,-24.67321325,-24.67214568,1.31E-05,6.51E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 11), (9, 8), (8, 9), (9, 8), (8, 5), (8, 9), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (8, 9), (8, 5), (9, 8), (8, 9), (9, 8), (8, 11)]"
"((1, 6), (3, 8))",-24.66702377,-24.67331772,-24.67219202,3.96E-05,2.67E-05,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (6, 7)]"
"((0, 6), (3, 8))",-24.66595144,-24.67321326,-24.67205924,5.27E-05,3.73E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9)]"
"((1, 6), (2, 7))",-24.6453872,-24.67331772,-24.67202868,0.000780114,0.000709769,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(13, 12), (10, 12), (12, 10), (10, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (10, 12), (12, 10), (10, 12), (13, 12)]"
"((0, 6), (2, 7))",-24.64306403,-24.67321325,-24.6718985,0.000908975,0.000831427,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(4, 7), (10, 7), (7, 10), (10, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (10, 7), (7, 10), (10, 7), (4, 7)]"
"((1, 5), (3, 8))",-24.62789828,-24.67321325,-24.67194074,0.002053447,0.001939739,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 5), (9, 8), (8, 9), (9, 8), (8, 11), (8, 9), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (8, 9), (8, 11), (9, 8), (8, 9), (9, 8), (8, 5)]"
"((0, 5), (3, 8))",-24.62690428,-24.68025697,-24.67837458,0.00284651,0.002649192,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"((0, 0), (4, 0))",-24.66721332,-24.67016735,-24.66913404,8.73E-06,3.69E-06,0.25,0.75,1,0,0.25,0,0.0625,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
