Operator,Noisy_val_approx,Ideal_val,diff,REM_seq,Diff_REM,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.420676202,-1.489284816,0.004707142,-1.485766474,0.004236744,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.317538064,-1.510194264,0.037116411,-1.489970356,0.029732895,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.411746986,-1.581895356,0.028950468,-1.590031879,0.031785503,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.581735996,-1.581735996,0,-1.58132392,1.69807E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.487072472,-1.487072472,0,-1.48656321,2.59348E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.452510108,-1.488973865,0.001329606,-1.490067819,0.001410582,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.424347326,-1.488973862,0.004176589,-1.482501175,0.00338187,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (2, 6)), ((1, 5), (2, 6)))",-1.315587284,-1.510467176,0.037978172,-1.520924207,0.042163252,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (2, 6)), ((0, 5), (3, 6)))",-1.419895223,-1.581735996,0.026192436,-1.588028805,0.028268901,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((0, 4), (3, 7)))",-1.530063705,-1.530063705,0,-1.529622776,1.94418E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.477090696,-1.513082779,0.00129543,-1.512747405,0.001271401,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.436487401,-1.506710326,0.004931259,-1.494390207,0.003352735,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.391113435,-1.560356222,0.028643121,-1.549325795,0.025031151,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.299244312,-1.541425199,0.058651582,-1.537795763,0.056906795,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.45888755,-1.497051056,0.001456453,-1.495751888,0.001358979,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.437590337,-1.497051059,0.003535577,-1.486597205,0.002401673,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
