Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,singles,doubles,singles_ratio,doubles_ratio,param_ratio,cnot_con
"(((0, 5), (4, 9)), ((0, 6), (3, 8)))",-24.71899443,-24.73592769,-24.73465622,0.000286735,0.000245292,0.40625,0.59375,0,2,0,0.166666667,0.125,"[(2, 1), (8, 5), (11, 14), (11, 8), (14, 11), (11, 8), (8, 11), (11, 8), (5, 8), (8, 11), (11, 8), (8, 11), (14, 11), (8, 11), (14, 11), (11, 8), (8, 11), (11, 8), (5, 8), (8, 11), (11, 8), (8, 11), (14, 11), (8, 11), (11, 8), (8, 5), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (2, 3), (2, 1), (3, 5), (11, 14)]"
"(((0, 5), (4, 9)), ((1, 6), (2, 7)))",-24.71214971,-24.7402963,-24.73864948,0.000792231,0.000702237,0.37704918,0.62295082,0,2,0,0.166666667,0.125,"[(2, 3), (1, 4), (1, 2), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (1, 2), (2, 3), (1, 4), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9), (8, 5), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (8, 5), (8, 9), (5, 8), (8, 5), (5, 8), (8, 11)]"
"(((0, 5), (4, 9)), ((0, 6), (2, 7)))",-24.69764057,-24.73592769,-24.73440639,0.001465904,0.001351726,0.370967742,0.629032258,0,2,0,0.166666667,0.125,"[(11, 8), (10, 12), (13, 12), (12, 13), (13, 12), (12, 15), (12, 10), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (12, 10), (12, 15), (10, 12), (12, 10), (10, 12), (12, 13), (14, 13), (11, 14), (8, 11), (13, 14), (14, 13), (13, 14), (14, 11), (8, 11), (13, 14), (14, 13), (13, 14), (14, 11), (8, 11), (13, 14), (14, 13), (13, 14), (14, 11), (8, 11), (13, 14), (14, 13), (13, 14), (14, 11), (11, 14), (11, 8), (14, 13)]"
"(((0, 5), (4, 9)), ((1, 5), (3, 8)))",-24.68556512,-24.73592769,-24.73429826,0.002536389,0.00237492,0.362318841,0.637681159,0,2,0,0.166666667,0.125,"[(1, 4), (8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (9, 8), (8, 9), (9, 8), (5, 8), (5, 3), (3, 5), (5, 3), (2, 3), (2, 3), (1, 2), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (1, 2), (2, 3), (1, 4)]"
"(((0, 5), (4, 9)), ((0, 5), (3, 8)))",-24.67193651,-24.73738428,-24.73576402,0.00428341,0.004073952,0.360655738,0.639344262,0,2,0,0.166666667,0.125,"[(13, 12), (14, 11), (14, 13), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (10, 12), (12, 10), (10, 12), (11, 14), (13, 14), (14, 13), (14, 11), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (13, 12), (12, 13), (13, 12), (12, 10)]"
"(((0, 5), (4, 9)), ((0, 0), (4, 0)))",-24.72591242,-24.73236898,-24.73125958,4.17E-05,2.86E-05,0.406593407,0.593406593,1,1,0.25,0.083333333,0.125,"[(5, 3), (8, 11), (5, 8), (3, 5), (11, 8), (8, 11), (11, 8), (8, 5), (3, 5), (5, 8), (8, 5), (5, 8), (3, 5), (5, 3), (3, 5), (11, 8), (5, 8), (3, 5), (5, 3), (3, 5), (5, 8), (3, 5), (5, 3), (3, 5), (5, 8), (11, 8), (8, 11), (8, 5), (3, 5), (5, 3), (11, 8), (8, 11), (11, 8), (8, 5), (5, 3), (5, 3), (3, 5)]"
"(((0, 5), (4, 9)), ((5, 0), (9, 0)))",-24.72590899,-24.73236899,-24.73125611,4.17E-05,2.86E-05,0.342857143,0.657142857,1,1,0.25,0.083333333,0.125,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10), (6, 7), (7, 6), (7, 6), (6, 7)]"
"(((0, 5), (4, 9)), ((1, 0), (4, 0)))",-24.71458643,-24.73239864,-24.7312952,0.000317275,0.000279183,0.375,0.625,1,1,0.25,0.083333333,0.125,"[(3, 2), (5, 8), (3, 5), (2, 3), (8, 5), (5, 8), (8, 5), (5, 3), (2, 3), (8, 5), (5, 8), (8, 5), (5, 3), (2, 3), (8, 5), (5, 8), (8, 5), (5, 3), (2, 3), (8, 5), (5, 8), (8, 5), (5, 3), (3, 5), (3, 2), (2, 1), (1, 2), (1, 2), (2, 1), (5, 8)]"
"(((0, 5), (4, 9)), ((6, 0), (9, 0)))",-24.72633232,-24.73239866,-24.73128643,3.68E-05,2.45E-05,0.397590361,0.602409639,1,1,0.25,0.083333333,0.125,"[(3, 2), (5, 8), (3, 5), (2, 3), (8, 5), (5, 8), (8, 5), (5, 3), (2, 3), (8, 5), (5, 8), (8, 5), (5, 3), (2, 3), (8, 5), (5, 8), (8, 5), (5, 3), (2, 3), (8, 5), (5, 8), (8, 5), (5, 3), (3, 5), (3, 2), (1, 2), (2, 1), (1, 2), (3, 2), (2, 3), (2, 3), (3, 2), (5, 8)]"
"(((1, 6), (3, 8)), ((0, 5), (2, 7)))",-24.72509764,-24.73604056,-24.73473662,0.000119747,9.29E-05,0.37704918,0.62295082,0,2,0,0.166666667,0.125,"[(5, 3), (8, 9), (8, 5), (3, 5), (5, 3), (3, 5), (9, 8), (5, 8), (3, 5), (5, 3), (3, 5), (9, 8), (5, 8), (3, 5), (5, 3), (3, 5), (9, 8), (5, 8), (3, 5), (5, 3), (3, 5), (9, 8), (5, 8), (8, 5), (5, 3), (8, 9), (12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
