Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 6), (4, 9))",-24.64277526,-24.64277526,-24.64162511,0,1.32284E-06,0.243902439,0.756097561,0.0625,"[(11, 3), (11, 10), (11, 10), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (11, 12), (11, 10), (11, 10), (11, 10), (11, 3)]"
"((0, 5), (2, 7))",-24.57863483,-24.57863483,-24.57748468,0,1.32284E-06,0.243902439,0.756097561,0.0625,"[(11, 10), (11, 3), (11, 3), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10)]"
"((0, 5), (3, 8))",-24.57863483,-24.57863483,-24.57748468,0,1.32284E-06,0.24691358,0.75308642,0.0625,"[(11, 10), (12, 2), (2, 3), (2, 3), (2, 3), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 3), (2, 3), (2, 3), (2, 3), (11, 10), (12, 2)]"
"((0, 6), (4, 9))",-24.5615051,-24.5615051,-24.56035494,0,1.32286E-06,0.263157895,0.736842105,0.0625,"[(9, 10), (5, 9), (5, 9), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 10), (9, 8), (5, 9), (5, 9), (5, 9), (9, 10)]"
"((0, 6), (2, 7))",-24.5605689,-24.5605689,-24.55941875,0,1.32284E-06,0.285714286,0.714285714,0.0625,"[(7, 8), (5, 9), (5, 6), (5, 6), (5, 6), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (5, 6), (5, 6), (5, 6), (7, 8), (9, 8), (9, 8), (7, 8), (5, 9)]"
"((1, 5), (2, 7))",-24.5605689,-24.5605689,-24.55941875,0,1.32284E-06,0.256410256,0.743589744,0.0625,"[(4, 10), (4, 3), (4, 3), (4, 3), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (11, 12)]"
"((1, 5), (3, 8))",-24.5605689,-24.5605689,-24.55941875,0,1.32284E-06,0.277777778,0.722222222,0.0625,"[(1, 2), (11, 12), (11, 3), (11, 3), (11, 3), (12, 2), (1, 2), (2, 3), (1, 2), (12, 2), (1, 2), (2, 3), (1, 2), (11, 3), (11, 3), (11, 3), (12, 2), (12, 2), (1, 2), (11, 12)]"
"((1, 6), (2, 7))",-24.56003768,-24.56003768,-24.55888754,0,1.32284E-06,0.25,0.75,0.0625,"[(5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4)]"
"((1, 6), (3, 8))",-24.46602104,-24.56003768,-24.55878212,0.008839128,0.008604618,0.285714286,0.714285714,0.0625,"[(4, 10), (9, 10), (9, 10), (9, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (11, 10), (9, 10), (9, 10), (9, 10), (4, 10)]"
"((0, 6), (3, 8))",-24.45794489,-24.5605689,-24.55919921,0.010531687,0.010252438,0.281690141,0.718309859,0.0625,"[(9, 10), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (4, 10), (4, 3), (4, 3), (4, 3), (9, 10), (11, 3)]"
"((1, 5), (4, 9))",-24.3922753,-24.5615051,-24.56093895,0.028638724,0.028447427,0.3125,0.6875,0.0625,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (5, 9), (5, 9), (5, 9), (5, 4), (11, 10)]"
"((0, 5), (4, 9))",-24.33884838,-24.56622358,-24.56516364,0.051699483,0.051218599,0.3125,0.6875,0.0625,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (5, 9), (5, 9), (5, 9), (5, 4), (11, 10)]"
"((0, 0), (4, 0))",-24.55954173,-24.55954173,-24.55839158,0,1.32285E-06,0.19047619,0.80952381,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((5, 0), (9, 0))",-24.47924302,-24.55954173,-24.55839158,0.006447883,0.006264494,0.210526316,0.789473684,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((1, 0), (4, 0))",-24.55954173,-24.55954173,-24.55839158,0,1.32285E-06,0.19047619,0.80952381,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((6, 0), (9, 0))",-24.55954173,-24.55954173,-24.55839158,0,1.32285E-06,0.210526316,0.789473684,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
