Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-1.502223742,-1.508038381,-1.503879668,3.381E-05,2.74209E-06,0,1,0,0.1,0.382352941,0.617647059,0.071428571,"[(2, 1), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (2, 3), (2, 1), (3, 5)]"
"((0, 5), (2, 7))",-1.484390101,-1.488137956,-1.485603281,1.40464E-05,1.4718E-06,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((1, 4), (3, 6))",-1.478108288,-1.488137957,-1.484430894,0.000100594,3.99753E-05,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(8, 9), (11, 8), (8, 11), (11, 8), (8, 5), (8, 11), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (8, 11), (8, 5), (11, 8), (8, 11), (11, 8), (8, 9)]"
"((1, 5), (3, 7))",-1.47304707,-1.477534191,-1.475065272,2.01343E-05,4.07314E-06,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((0, 4), (2, 6))",-1.469793961,-1.476750348,-1.47261901,4.83913E-05,7.9809E-06,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4)]"
"((0, 5), (3, 6))",-1.46615476,-1.47330536,-1.469036397,5.11311E-05,8.30383E-06,0,1,0,0.1,0.333333333,0.666666667,0.071428571,"[(11, 8), (5, 8), (8, 5), (5, 8), (8, 9), (8, 11), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (8, 11), (8, 9), (5, 8), (8, 5), (5, 8), (11, 8)]"
"((1, 4), (2, 7))",-1.441380351,-1.47330536,-1.4674038,0.001019206,0.00067722,0,1,0,0.1,0.333333333,0.666666667,0.071428571,"[(10, 7), (4, 7), (7, 4), (4, 7), (7, 6), (7, 10), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (7, 10), (7, 6), (4, 7), (7, 4), (4, 7), (10, 7)]"
"((0, 4), (3, 7))",-1.434367287,-1.470839681,-1.463061454,0.001330236,0.000823355,0,1,0,0.1,0.382352941,0.617647059,0.071428571,"[(13, 14), (12, 15), (12, 13), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (12, 13), (13, 14), (12, 15)]"
"((4, 5), (6, 7))",-1.402165536,-1.413903935,-1.412427995,0.00013779,0.000105318,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"((0, 1), (2, 3))",-1.390167381,-1.413903935,-1.412319513,0.000563424,0.000490717,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4)]"
"((0, 0), (2, 0))",-1.409252296,-1.410765052,-1.40975305,2.28843E-06,2.50754E-07,1,0,0.25,0,0.25,0.75,0.071428571,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((1, 0), (3, 0))",-1.407757315,-1.410765051,-1.409753091,9.04648E-06,3.98312E-06,1,0,0.25,0,0.25,0.75,0.071428571,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((4, 0), (6, 0))",-1.409239846,-1.410765052,-1.409752997,2.32625E-06,2.63324E-07,1,0,0.25,0,0.25,0.75,0.071428571,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"((5, 0), (7, 0))",-1.409384479,-1.410765051,-1.409753027,1.90598E-06,1.35827E-07,1,0,0.25,0,0.25,0.75,0.071428571,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
