Operator,Noisy_val_approx,Ideal_val,Seq_REM,singles ,doubles,singles_ratio,doubles_ratio,diff,diff_REM,diff_diff,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((1, 5), (2, 6)), ((4, 0), (6, 0)), ((5, 0), (7, 0)))",-2.11022835,-2.124326129,-2.122421671,2,1,0.5,0.1,0.000198747,0.000148677,5.01E-05,0.389473684,0.610526316,0.214285714,"[(5, 3), (8, 11), (8, 5), (3, 5), (5, 3), (3, 5), (11, 8), (5, 8), (3, 5), (5, 3), (3, 5), (11, 8), (5, 8), (3, 5), (5, 3), (3, 5), (11, 8), (5, 8), (3, 5), (5, 3), (3, 5), (11, 8), (5, 8), (8, 5), (5, 3), (2, 3), (3, 2), (2, 3), (3, 5), (5, 3), (5, 3), (3, 5), (8, 11), (8, 9), (9, 8), (9, 8), (8, 9)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (3, 7)))",-2.082105308,-2.122586327,-2.120713346,0,3,0,0.3,0.001638713,0.001490581,0.000148132,0.376237624,0.623762376,0.214285714,"[(10, 7), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (12, 10), (10, 7), (6, 7), (4, 7), (7, 4), (4, 7), (12, 13), (12, 13), (10, 12), (12, 10), (10, 12), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (13, 14), (12, 15), (13, 12), (14, 13), (15, 12), (12, 15), (15, 12), (12, 13), (14, 13), (15, 12), (12, 15), (15, 12), (12, 13), (14, 13), (15, 12), (12, 15), (15, 12), (12, 13), (14, 13), (15, 12), (12, 15), (15, 12), (12, 13), (13, 12), (12, 15), (13, 14)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 5), (3, 6)))",-2.071105453,-2.118396171,-2.116568795,0,3,0,0.3,0.002236412,0.002066915,0.000169497,0.420289855,0.579710145,0.214285714,"[(10, 7), (12, 15), (10, 12), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (10, 12), (12, 10), (10, 12), (7, 10), (10, 7), (7, 10), (15, 12), (10, 12), (7, 10), (10, 7), (7, 10), (10, 12), (7, 10), (10, 7), (7, 10), (10, 12), (15, 12), (12, 15), (12, 10), (7, 10), (10, 7), (7, 10), (4, 7), (6, 7), (7, 6), (6, 7), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (4, 7), (4, 7), (7, 4), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (7, 10), (10, 7), (7, 10), (4, 7), (10, 12), (12, 10), (10, 12), (10, 7), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (12, 10), (10, 7), (12, 13)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 4), (3, 6)))",-2.061174407,-2.123823478,-2.121436151,0,3,0,0.3,0.003924906,0.003631478,0.000293428,0.424390244,0.575609756,0.214285714,"[(7, 6), (10, 12), (10, 7), (6, 7), (7, 6), (6, 7), (12, 10), (7, 10), (12, 10), (10, 7), (7, 10), (10, 7), (6, 7), (12, 10), (10, 12), (12, 10), (10, 7), (12, 10), (10, 12), (12, 10), (10, 7), (12, 10), (10, 12), (12, 10), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (10, 12), (12, 10), (10, 12), (7, 10), (4, 7), (7, 4), (4, 7), (15, 12), (13, 12), (12, 13), (13, 12), (12, 10), (15, 12), (15, 12), (12, 15), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (14, 13), (13, 14), (14, 13), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (10, 7), (7, 10), (12, 10), (15, 12), (15, 12), (12, 15), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (10, 12), (12, 10), (10, 12), (15, 12)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.995843294,-2.116934351,-2.115685597,0,3,0,0.3,0.014663044,0.014362178,0.000300866,0.373443983,0.626556017,0.214285714,"[(9, 8), (5, 8), (8, 5), (5, 8), (8, 11), (8, 9), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (8, 9), (8, 11), (8, 11), (5, 8), (8, 5), (5, 8), (3, 5), (9, 8), (8, 5), (5, 8), (8, 5), (5, 3), (3, 5), (5, 3), (2, 3), (2, 3), (5, 3), (2, 3), (3, 2), (2, 3), (8, 5), (3, 5), (2, 3), (3, 2), (2, 3), (8, 5), (3, 5), (8, 5), (5, 3), (3, 5), (5, 3), (2, 3), (3, 5), (5, 3), (3, 5), (8, 5), (3, 5), (5, 3), (3, 2), (5, 8), (11, 8), (8, 11), (11, 8), (8, 5), (3, 5), (5, 3), (3, 5), (5, 8), (8, 5), (5, 8), (8, 9), (8, 9), (5, 8), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (5, 8), (5, 3), (8, 9)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.988588408,-2.118422615,-2.116579254,0,3,0,0.3,0.016856921,0.016381657,0.000475265,0.35193133,0.64806867,0.214285714,"[(7, 10), (4, 7), (7, 4), (4, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (6, 7), (6, 7), (7, 10), (10, 7), (7, 10), (4, 7), (1, 4), (4, 1), (1, 4), (10, 12), (12, 10), (10, 12), (10, 7), (12, 13), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (13, 12), (12, 10), (10, 12), (12, 10), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (10, 12), (12, 10), (10, 12), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (10, 12), (10, 7), (6, 7), (12, 13), (12, 10), (10, 12), (12, 10), (10, 7), (7, 10), (10, 7), (7, 4), (6, 7), (6, 7), (7, 6), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (6, 7)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.989687179,-2.120349675,-2.118335352,0,3,0,0.3,0.017072688,0.016550353,0.000522335,0.375634518,0.624365482,0.214285714,"[(7, 10), (4, 7), (7, 4), (4, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (7, 10), (10, 7), (7, 10), (4, 7), (10, 12), (12, 10), (10, 12), (7, 10), (10, 7), (7, 10), (7, 6), (12, 13), (15, 12), (12, 15), (15, 12), (10, 12), (10, 12), (7, 10), (6, 7), (12, 10), (10, 12), (12, 10), (10, 7), (6, 7), (12, 10), (10, 12), (12, 10), (10, 7), (6, 7), (12, 10), (10, 12), (12, 10), (10, 7), (6, 7), (12, 10), (10, 12), (12, 10), (10, 7), (7, 10), (7, 6), (15, 12), (12, 15), (15, 12), (12, 10), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (12, 10), (12, 13), (10, 12), (12, 10), (10, 12), (12, 15)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.944814586,-2.116944084,-2.116609921,0,3,0,0.3,0.029628564,0.029513637,0.000114927,0.418803419,0.581196581,0.214285714,"[(13, 14), (12, 15), (12, 13), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (15, 12), (12, 13), (13, 12), (12, 13), (14, 13), (15, 12), (12, 15), (15, 12), (12, 13), (15, 12), (12, 15), (15, 12), (12, 13), (15, 12), (12, 15), (15, 12), (12, 13), (14, 13), (13, 14), (13, 12), (12, 10), (10, 12), (12, 10), (7, 10), (7, 10), (14, 13), (13, 14), (14, 13), (15, 12), (12, 15), (13, 12), (10, 12), (12, 10), (10, 12), (12, 15), (12, 10), (10, 12), (12, 10), (7, 10), (12, 10), (7, 10), (10, 12), (12, 10), (10, 12), (7, 10), (10, 7), (7, 10), (15, 12), (10, 12), (7, 10), (10, 7), (7, 10), (10, 12), (7, 10), (10, 7), (7, 10), (10, 12), (15, 12), (12, 15), (12, 10), (7, 10), (10, 7), (7, 10), (4, 7), (6, 7), (7, 6), (6, 7), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (4, 7), (4, 7), (7, 4), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (4, 7), (7, 4), (4, 7), (7, 10)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 0), (2, 0)))",-2.091237019,-2.116561701,-2.114867738,1,2,0.25,0.2,0.00064134,0.000558411,8.29E-05,0.407894737,0.592105263,0.214285714,"[(4, 1), (7, 10), (4, 7), (1, 4), (10, 7), (7, 10), (10, 7), (7, 4), (1, 4), (4, 7), (7, 4), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (4, 7), (1, 4), (4, 1), (1, 4), (4, 7), (10, 7), (7, 10), (7, 4), (1, 4), (4, 1), (1, 4), (0, 1), (10, 7), (7, 10), (10, 7), (7, 4), (4, 1), (1, 4), (4, 1), (2, 1), (0, 1), (1, 0), (0, 1), (1, 2), (4, 1), (0, 1), (4, 1), (2, 1), (4, 1), (0, 1), (4, 1), (2, 1), (1, 2), (1, 4), (0, 1), (1, 0), (0, 1), (2, 1), (4, 1), (1, 4), (1, 4), (4, 1)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 0), (3, 0)))",-2.082121253,-2.116309675,-2.114620342,1,2,0.25,0.2,0.001168848,0.001056191,0.000112657,0.331325301,0.668674699,0.214285714,"[(4, 7), (10, 7), (7, 10), (10, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (6, 7), (6, 7), (7, 10), (10, 7), (7, 10), (4, 7), (8, 11), (11, 8), (11, 8), (8, 11), (10, 12), (12, 10), (10, 12), (10, 7), (12, 15), (12, 15), (12, 10), (7, 10), (10, 7), (7, 10), (15, 12), (10, 12), (7, 10), (10, 7), (7, 10), (15, 12), (10, 12), (7, 10), (10, 7), (7, 10), (15, 12), (10, 12), (7, 10), (10, 7), (7, 10), (15, 12), (10, 12), (12, 10), (10, 7), (12, 15)]"
