Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((1, 4), (3, 6)), ((5, 0), (7, 0)))",-1.830932879,-1.849254908,-1.847629,0.000335697,0.00027876,1,1,0.25,0.1,0.342857143,0.657142857,0.142857143,"[(4, 1), (1, 4), (1, 4), (4, 1), (8, 9), (11, 8), (8, 11), (11, 8), (8, 5), (8, 11), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (8, 11), (8, 5), (11, 8), (8, 11), (11, 8), (8, 9)]"
"(((0, 5), (3, 6)), ((4, 5), (6, 7)))",-1.791112836,-1.843204417,-1.841373399,0.002713533,0.002526124,0,2,0,0.2,0.398373984,0.601626016,0.142857143,"[(8, 5), (11, 14), (11, 8), (14, 11), (11, 8), (8, 11), (11, 8), (5, 8), (8, 11), (11, 8), (8, 11), (14, 11), (8, 11), (14, 11), (11, 8), (8, 11), (11, 8), (5, 8), (8, 11), (11, 8), (8, 11), (14, 11), (8, 11), (11, 8), (8, 5), (3, 5), (5, 3), (3, 5), (8, 5), (9, 8), (8, 9), (9, 8), (11, 14), (8, 11), (8, 9), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (8, 9), (8, 11), (5, 8), (8, 5), (5, 8), (9, 8)]"
"(((0, 5), (3, 6)), ((1, 4), (2, 7)))",-1.787720033,-1.848927509,-1.846674133,0.003746355,0.003475586,0,2,0,0.2,0.37704918,0.62295082,0.142857143,"[(4, 1), (7, 10), (7, 4), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (7, 4), (4, 1), (7, 10), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9), (8, 5), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (8, 5), (8, 9), (5, 8), (8, 5), (5, 8), (8, 11)]"
"(((0, 5), (3, 6)), ((0, 4), (3, 7)))",-1.777510984,-1.85379618,-1.850718496,0.005819431,0.00535934,0,2,0,0.2,0.331168831,0.668831169,0.142857143,"[(4, 7), (10, 7), (7, 10), (10, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (6, 7), (6, 7), (7, 10), (10, 7), (7, 10), (4, 7), (10, 12), (12, 10), (10, 12), (10, 7), (12, 13), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (12, 10), (10, 7), (12, 13)]"
"(((0, 5), (3, 6)), ((0, 1), (2, 3)))",-1.748767514,-1.843878012,-1.843228784,0.009046007,0.008922931,0,2,0,0.2,0.385826772,0.614173228,0.142857143,"[(9, 8), (5, 8), (8, 5), (5, 8), (8, 11), (8, 9), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (8, 9), (8, 11), (5, 8), (8, 5), (5, 8), (9, 8), (11, 14), (14, 11), (11, 14), (11, 8), (14, 13), (14, 11), (8, 11), (11, 8), (8, 11), (13, 14), (11, 14), (8, 11), (11, 8), (8, 11), (13, 14), (11, 14), (8, 11), (11, 8), (8, 11), (13, 14), (11, 14), (8, 11), (11, 8), (8, 11), (13, 14), (11, 14), (14, 11), (11, 8), (14, 13)]"
"(((0, 5), (3, 6)), ((0, 0), (2, 0)))",-1.826866531,-1.839833798,-1.838348926,0.00016815,0.000131845,1,1,0.25,0.1,0.342857143,0.657142857,0.142857143,"[(12, 10), (13, 12), (12, 13), (13, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (7, 10), (10, 7), (10, 7), (7, 10)]"
"(((0, 5), (3, 6)), ((1, 0), (3, 0)))",-1.824718937,-1.839738679,-1.838222863,0.000225593,0.000182356,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(9, 8), (11, 8), (8, 11), (11, 8), (8, 5), (8, 9), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (8, 9), (8, 5), (5, 3), (3, 5), (3, 5), (5, 3), (11, 8), (8, 11), (11, 8), (9, 8)]"
"(((0, 5), (3, 6)), ((4, 0), (6, 0)))",-1.825594091,-1.839557187,-1.838079509,0.000194968,0.000155886,1,1,0.25,0.1,0.314285714,0.685714286,0.142857143,"[(11, 8), (5, 8), (8, 5), (5, 8), (8, 9), (8, 11), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (8, 9), (11, 8), (8, 11), (8, 5), (11, 14), (14, 11), (14, 11), (11, 14)]"
"(((0, 5), (3, 6)), ((5, 0), (7, 0)))",-1.826491232,-1.839543449,-1.838039955,0.00017036,0.000133373,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(5, 8), (11, 8), (8, 11), (11, 8), (8, 9), (8, 5), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (8, 5), (8, 9), (11, 8), (8, 11), (11, 8), (5, 8), (3, 5), (5, 3), (5, 3), (3, 5)]"
"(((4, 5), (6, 7)), ((1, 4), (2, 7)))",-1.743119013,-1.84387801,-1.840301029,0.010152375,0.009444344,0,2,0,0.2,0.375,0.625,0.142857143,"[(10, 7), (12, 13), (12, 10), (13, 12), (12, 10), (10, 12), (12, 10), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (13, 12), (12, 13), (13, 12), (12, 10), (13, 12), (12, 13), (13, 12), (12, 10), (7, 10), (12, 10), (13, 12), (12, 13), (13, 12), (10, 12), (10, 7), (7, 6), (12, 13), (12, 10), (10, 12), (12, 10), (10, 7), (7, 10), (10, 7), (7, 4), (7, 10), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (7, 10), (7, 4), (6, 7), (7, 6), (6, 7), (10, 7)]"
