Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((1, 5), (2, 7)), ((1, 5), (3, 8)), ((5, 0), (9, 0)))",-24.53203742,-24.6166675,-24.61562985,0.00716225,0.006987694,0.28,0.72,0.1875,"[(5, 4), (11, 3), (11, 10), (11, 10), (11, 10), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (4, 10), (5, 4), (4, 10), (4, 10), (4, 10), (11, 3), (11, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 10), (9, 10), (9, 10), (9, 10), (9, 10)]"
"(((1, 5), (2, 7)), ((1, 5), (3, 8)), ((1, 0), (4, 0)))",-24.61669521,-24.61669521,-24.61559153,0,1.21812E-06,0.274509804,0.725490196,0.1875,"[(2, 3), (5, 6), (11, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (5, 4), (5, 6), (11, 10), (11, 10), (11, 10), (9, 10), (9, 10), (9, 10), (5, 9), (5, 6), (5, 4), (5, 6), (5, 9), (5, 6), (5, 4), (5, 4), (5, 6), (4, 10), (4, 10), (4, 10), (9, 10), (9, 8), (9, 8), (9, 8), (9, 8)]"
"(((1, 5), (2, 7)), ((1, 5), (3, 8)), ((6, 0), (9, 0)))",-24.61667384,-24.61667384,-24.61557017,0,1.21809E-06,0.276315789,0.723684211,0.1875,"[(1, 0), (4, 3), (9, 10), (9, 10), (9, 10), (9, 10), (13, 12), (12, 2), (12, 2), (12, 2), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 2), (1, 0), (2, 3), (4, 3), (13, 12), (13, 12), (13, 12), (11, 12), (11, 12), (11, 12), (11, 3), (4, 3), (2, 3), (4, 3), (11, 3), (4, 3), (2, 3), (2, 3), (4, 3), (12, 2), (12, 2), (12, 2), (11, 12)]"
"(((1, 5), (2, 7)), ((1, 6), (2, 7)), ((1, 6), (3, 8)))",-24.51933115,-24.61808166,-24.61739288,0.009751662,0.009616102,0.27753304,0.72246696,0.1875,"[(2, 3), (5, 6), (9, 8), (5, 9), (5, 6), (9, 8), (9, 8), (9, 8), (5, 9), (5, 6), (9, 8), (9, 8), (9, 8), (5, 9), (5, 6), (9, 8), (9, 8), (9, 8), (5, 9), (5, 6), (9, 8), (9, 8), (9, 8), (5, 9), (5, 9), (9, 8), (9, 8), (9, 10), (4, 10), (4, 10), (4, 10), (5, 4), (5, 6), (5, 9), (5, 6), (5, 4), (5, 6), (5, 9), (5, 6), (5, 4), (5, 4), (4, 3), (2, 3), (5, 6), (9, 10), (9, 10), (9, 10), (11, 10), (11, 10), (11, 10), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (11, 10), (11, 10), (11, 10), (4, 10)]"
"(((1, 5), (2, 7)), ((1, 6), (2, 7)), ((0, 6), (3, 8)))",-24.51003883,-24.61909558,-24.61794906,0.011893374,0.011644616,0.268907563,0.731092437,0.1875,"[(9, 8), (9, 8), (9, 8), (5, 9), (11, 3), (11, 10), (11, 10), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (4, 10), (4, 10), (4, 10), (11, 12), (11, 3), (11, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (4, 3), (4, 3), (4, 3), (11, 12), (11, 10), (11, 10), (4, 10), (9, 10), (9, 10), (9, 10), (9, 8), (9, 10), (9, 10), (9, 10), (9, 10), (5, 9), (9, 8), (5, 9), (9, 10), (5, 9), (9, 8), (5, 9), (9, 10), (9, 10), (5, 9), (9, 8), (9, 8), (9, 8), (9, 10), (11, 12)]"
"(((1, 5), (2, 7)), ((1, 6), (2, 7)), ((1, 5), (4, 9)))",-24.43426443,-24.62070334,-24.61784696,0.034759464,0.033702545,0.266055046,0.733944954,0.1875,"[(9, 8), (4, 10), (5, 4), (5, 4), (5, 4), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (5, 4), (5, 4), (5, 4), (9, 8), (9, 10), (9, 10), (4, 10), (5, 4), (5, 9), (9, 8), (4, 10), (4, 10), (4, 10), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (5, 9), (9, 8), (4, 10), (4, 10), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (4, 3), (4, 3), (4, 3), (11, 12), (11, 10), (11, 10), (4, 10), (11, 12)]"
"(((1, 5), (2, 7)), ((1, 6), (2, 7)), ((0, 5), (4, 9)))",-24.39336257,-24.62423034,-24.62025561,0.053299926,0.051480453,0.265306122,0.734693878,0.1875,"[(1, 0), (11, 3), (11, 10), (11, 10), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (4, 10), (4, 10), (4, 10), (11, 12), (11, 3), (11, 3), (4, 3), (2, 3), (2, 3), (1, 2), (1, 0), (2, 3), (2, 3), (2, 3), (1, 2), (1, 0), (2, 3), (2, 3), (2, 3), (1, 2), (1, 0), (2, 3), (2, 3), (2, 3), (1, 2), (1, 0), (2, 3), (2, 3), (2, 3), (1, 2), (1, 2), (1, 0), (2, 3), (4, 10), (4, 3), (4, 3), (4, 3), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 10), (11, 10), (11, 10), (11, 3)]"
"(((1, 5), (2, 7)), ((1, 6), (2, 7)), ((0, 0), (4, 0)))",-24.61722497,-24.61722497,-24.61612129,0,1.2181E-06,0.270967742,0.729032258,0.1875,"[(1, 0), (9, 10), (9, 10), (9, 10), (9, 10), (12, 2), (1, 2), (1, 0), (13, 12), (13, 12), (13, 12), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 2), (13, 12), (13, 12), (13, 12), (12, 2), (13, 12), (12, 2), (12, 2), (12, 2), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (13, 1), (1, 0), (13, 12), (13, 12), (13, 12), (12, 2)]"
"(((1, 5), (2, 7)), ((1, 6), (2, 7)), ((5, 0), (9, 0)))",-24.53282009,-24.61723815,-24.61619535,0.00712641,0.006951434,0.278145695,0.721854305,0.1875,"[(4, 10), (4, 3), (4, 3), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (4, 10), (11, 3), (11, 3), (11, 3), (11, 10), (9, 10), (9, 10), (9, 10), (9, 10), (11, 3), (4, 3), (5, 4), (11, 10), (11, 10), (11, 10), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (4, 3), (5, 4), (11, 10), (11, 10), (11, 10), (11, 3)]"
"(((1, 5), (2, 7)), ((1, 6), (2, 7)), ((1, 0), (4, 0)))",-24.61723099,-24.61723099,-24.61612734,0,1.21803E-06,0.306569343,0.693430657,0.1875,"[(2, 3), (11, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (11, 10), (11, 10), (11, 10), (4, 10), (11, 10), (4, 10), (4, 10), (4, 10), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 3), (11, 3), (2, 3), (11, 10), (9, 10), (9, 10), (9, 10), (9, 10)]"
