Operator,Noisy_val_approx,Ideal_val,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.641872606,-1.652486662,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.649557532,-1.664378979,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.54714165,-1.640036837,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.539208616,-1.615061687,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.529381332,-1.615061687,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.631798141,-1.680580026,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.587176677,-1.640036843,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.550243641,-1.620407027,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.528767574,-1.617258679,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.631783669,-1.681437065,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.58402891,-1.635091397,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.521016179,-1.5809312,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.631056505,-1.662550317,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.58682748,-1.617258682,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.60389895,-1.662550318,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.564024732,-1.620407024,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.66598127,-1.681437066,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)))",-1.667428666,-1.699581981,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))",-1.672960885,-1.698644447,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (3, 7)))",-1.663689799,-1.730938584,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 4), (2, 7)))",-1.599142739,-1.665780607,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))",-1.59420612,-1.672851107,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 1), (2, 3)))",-1.585885848,-1.67285111,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (2, 6)))",-1.748752521,-1.782151669,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 5), (3, 6)))",-1.638681214,-1.66578061,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (3, 7)))",-1.680936148,-1.700973576,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.62790392,-1.686970774,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.606928661,-1.681040494,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.604287549,-1.666150603,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.592908593,-1.666660985,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (2, 6)))",-1.707263624,-1.729299977,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 5), (3, 6)))",-1.656747683,-1.680038034,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.633048927,-1.687743509,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.613188975,-1.678739938,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.608158995,-1.664328164,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.593566442,-1.664815344,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.712444407,-1.728854285,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.656602002,-1.677740413,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.561232016,-1.680786558,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.579258083,-1.674625933,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.562641982,-1.674584755,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.738929229,-1.79580291,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.61537373,-1.679951233,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.540395225,-1.627787896,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.520897793,-1.627174462,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.655300776,-1.732411114,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.583236652,-1.640500929,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.526007907,-1.623833344,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.670493435,-1.727595761,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.588525396,-1.626473693,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.641415209,-1.727424069,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.557748623,-1.626835193,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.703969601,-1.731624889,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (3, 7)))",-1.671707051,-1.700973572,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.627038719,-1.686970781,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.612253424,-1.680038034,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.588470503,-1.666660985,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.581018365,-1.666150605,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (2, 6)))",-1.694181581,-1.729299977,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 5), (3, 6)))",-1.645596788,-1.681040485,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.629122426,-1.687743512,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.615436517,-1.677740408,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.592971071,-1.664815344,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.587171887,-1.664328157,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.700528556,-1.728854291,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.649316783,-1.678739938,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.568134854,-1.679951235,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.577054217,-1.674584759,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.561124657,-1.674625944,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.723749582,-1.795802917,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.613761645,-1.680786558,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.539911139,-1.62683519,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.519981486,-1.626473678,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.662521329,-1.73162488,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.584524616,-1.640500933,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.525433308,-1.623833342,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.654298642,-1.727424065,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.572981966,-1.627174463,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.634287312,-1.727595761,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.55025195,-1.627787898,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (3, 6)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.692881122,-1.732411113,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.576773899,-1.65283683,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.647319181,-1.718971354,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.596580341,-1.656463317,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.584273426,-1.656463314,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.64344486,-1.662946042,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.691534664,-1.718971364,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.573103501,-1.677083724,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.531882431,-1.625291865,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.519761374,-1.625291871,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.612165643,-1.681025799,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.602387763,-1.677083724,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.574550268,-1.669683222,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.558613763,-1.668434509,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.633408117,-1.699279903,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.649918064,-1.735647632,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.521270811,-1.614873522,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.624520396,-1.662656822,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.612925219,-1.668434505,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.591960245,-1.662656821,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.584704301,-1.66968322,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.672932593,-1.699279902,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.573563986,-1.676328437,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.535930257,-1.625882242,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.522932643,-1.625882245,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.614297268,-1.681047292,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.604742943,-1.676328437,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.578185709,-1.667377548,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
