Operator,Noisy_val_approx,Ideal_val,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((1, 5), (3, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.560232869,-1.666009007,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.634453686,-1.697510257,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.649748315,-1.730134184,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.523528124,-1.613052344,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.625753493,-1.662608223,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.612745055,-1.666009014,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.594237972,-1.662608223,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.584063077,-1.667377552,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 5), (3, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.675556856,-1.697510258,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.534840343,-1.666479033,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.517277797,-1.662460434,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.616715547,-1.72403724,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.563506202,-1.680674306,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.502477893,-1.627062874,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.612493769,-1.704644337,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.569134475,-1.662460425,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.598639313,-1.70464433,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.559212529,-1.666479037,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.649836279,-1.712990235,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.513534764,-1.638555497,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (2, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.619434268,-1.712563714,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (2, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.576464642,-1.667050646,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (2, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.594903232,-1.708789392,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (2, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.553590892,-1.667050641,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.656309904,-1.723730515,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((4, 5), (6, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.587716084,-1.675031673,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((4, 5), (6, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.547224855,-1.631915004,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((4, 5), (6, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.660711871,-1.708789389,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 1), (2, 3)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.630015349,-1.712563714,42,28,42,106,24,18,3,70,0.342857143,0.257142857,0.3,0.283783784,0.716216216
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (3, 7)))",-1.713026394,-1.752331617,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.657325305,-1.74428365,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.62971821,-1.703349787,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.618731601,-1.713410947,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.606355412,-1.713410946,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (2, 6)))",-1.742405501,-1.788032038,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 5), (3, 6)))",-1.660477123,-1.703349782,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.667881271,-1.745317253,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.632927699,-1.701997916,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.622778985,-1.712003116,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.612989584,-1.712003119,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.747610869,-1.787139751,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.665304081,-1.701997916,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.613179988,-1.731087255,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.613280495,-1.732645737,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.597219261,-1.732645736,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.788862761,-1.875429216,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.651088807,-1.731087257,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.564226217,-1.674439869,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.541366164,-1.673865517,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.707042405,-1.782575348,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.588380781,-1.665822801,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.557860583,-1.686036719,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.681127734,-1.78237769,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.584412534,-1.673865513,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.672185489,-1.782377684,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.575373949,-1.674439869,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.733430098,-1.782575347,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.643393442,-1.710584628,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.664495394,-1.737647341,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.631622519,-1.717115633,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.61230869,-1.717771242,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.707406931,-1.734411594,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.703647468,-1.736359301,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.602139376,-1.703584171,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.578298478,-1.688426796,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.561635628,-1.68866222,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.723457696,-1.795864849,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.632781229,-1.702429776,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.565171675,-1.681256024,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.551688868,-1.681796073,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.652928514,-1.740262096,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.658840298,-1.736357942,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.53997361,-1.687680559,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.659932275,-1.729530712,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.611862365,-1.680670381,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.636075868,-1.729454151,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.594551334,-1.680295105,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.699259061,-1.739225946,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.605594095,-1.703875611,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.582110738,-1.689044484,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.564757898,-1.689263263,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.732107864,-1.795867787,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.635005516,-1.702731741,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.571771061,-1.678879296,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.551831529,-1.679341727,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.656944641,-1.739266977,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.656306006,-1.730978411,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.541493341,-1.683913341,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.662644458,-1.729161418,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.6173114,-1.678235219,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.638827348,-1.729072606,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.595557226,-1.677914997,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.703926036,-1.73824993,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.53371307,-1.684772677,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.514891485,-1.683545311,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.66665555,-1.805146762,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.576431011,-1.696277051,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.522151587,-1.674759149,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.677382655,-1.800178624,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.580152774,-1.682810759,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.655551696,-1.799845008,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.561706697,-1.68346263,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.727519409,-1.799631154,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.498800006,-1.639288778,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.620220996,-1.738853922,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.561859037,-1.669648747,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.596280058,-1.737515202,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.537699828,-1.669996175,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.65941918,-1.747283305,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.600099833,-1.728999735,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.538082867,-1.63227601,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((4, 5), (6, 7)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.675513456,-1.736876285,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((0, 5), (2, 7)), ((0, 1), (2, 3)), ((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.639646972,-1.737542371,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.628403715,-1.710584623,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.657411702,-1.736359307,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.621833906,-1.717771246,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.60969124,-1.717115634,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.693695473,-1.734411586,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.694637486,-1.73764734,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-1.578013746,-1.702429762,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.575425173,-1.68866222,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.565137416,-1.688426804,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.709786819,-1.795864844,56,36,56,140,32,24,4,92,0.347826087,0.260869565,0.4,0.285714286,0.714285714
