Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-1.562974396,-1.568943853,-1.565130716,3.56344E-05,4.64972E-06,0,1,0,0.1,0.382352941,0.617647059,0.071428571,"[(2, 1), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (2, 3), (2, 1), (3, 5)]"
"((0, 5), (2, 7))",-1.540103174,-1.543889967,-1.541699187,1.43398E-05,2.54726E-06,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((1, 4), (3, 6))",-1.533249621,-1.543889967,-1.541208881,0.000113217,6.33498E-05,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(8, 9), (11, 8), (8, 11), (11, 8), (8, 5), (8, 11), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (8, 11), (8, 5), (11, 8), (8, 11), (11, 8), (8, 9)]"
"((1, 5), (3, 7))",-1.528829628,-1.533688905,-1.53163035,2.36126E-05,7.84404E-06,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((0, 4), (2, 6))",-1.526700952,-1.533814937,-1.530343053,5.06088E-05,1.32649E-05,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4)]"
"((0, 5), (3, 6))",-1.520550599,-1.527940858,-1.524546153,5.46159E-05,1.59645E-05,0,1,0,0.1,0.333333333,0.666666667,0.071428571,"[(11, 8), (5, 8), (8, 5), (5, 8), (8, 9), (8, 11), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (8, 11), (8, 9), (5, 8), (8, 5), (5, 8), (11, 8)]"
"((1, 4), (2, 7))",-1.493728782,-1.527940858,-1.523256754,0.001170466,0.000871901,0,1,0,0.1,0.333333333,0.666666667,0.071428571,"[(10, 7), (4, 7), (7, 4), (4, 7), (7, 6), (7, 10), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (7, 10), (7, 6), (4, 7), (7, 4), (4, 7), (10, 7)]"
"((0, 4), (3, 7))",-1.4875248,-1.527376093,-1.520971256,0.001588126,0.001118665,0,1,0,0.1,0.382352941,0.617647059,0.071428571,"[(13, 14), (12, 15), (12, 13), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (12, 13), (13, 14), (12, 15)]"
"((4, 5), (6, 7))",-1.470910924,-1.485941759,-1.484539373,0.000225926,0.000185735,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"((0, 1), (2, 3))",-1.45532474,-1.485941759,-1.48450555,0.000937402,0.00085152,0,1,0,0.1,0.344827586,0.655172414,0.071428571,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4)]"
"((0, 0), (2, 0))",-1.481505494,-1.483239845,-1.4822426,3.00798E-06,5.43326E-07,1,0,0.25,0,0.25,0.75,0.071428571,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((1, 0), (3, 0))",-1.479496598,-1.483239845,-1.482242629,1.40119E-05,7.54068E-06,1,0,0.25,0,0.25,0.75,0.071428571,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((4, 0), (6, 0))",-1.481492726,-1.483239845,-1.482242547,3.05242E-06,5.62231E-07,1,0,0.25,0,0.25,0.75,0.071428571,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"((5, 0), (7, 0))",-1.481673507,-1.483239845,-1.482242574,2.45342E-06,3.23838E-07,1,0,0.25,0,0.25,0.75,0.071428571,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"(((1, 5), (2, 6)), ((0, 5), (2, 7)))",-1.656509057,-1.669170465,-1.661398383,0.000160311,2.39055E-05,0,2,0,0.2,0.40625,0.59375,0.142857143,"[(7, 6), (4, 7), (7, 4), (4, 7), (7, 10), (7, 4), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (7, 4), (7, 10), (4, 7), (7, 4), (4, 7), (7, 6), (12, 10), (7, 10), (10, 7), (7, 10), (10, 12), (12, 10), (10, 12), (12, 15), (10, 12), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (7, 10), (15, 12), (12, 15), (15, 12), (12, 10), (10, 12), (10, 7), (12, 15)]"
"(((1, 5), (2, 6)), ((1, 4), (3, 6)))",-1.638753207,-1.669170464,-1.657731582,0.00092521,0.000360179,0,2,0,0.2,0.420289855,0.579710145,0.142857143,"[(5, 3), (8, 9), (5, 8), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (5, 8), (5, 3), (2, 3), (3, 2), (2, 3), (5, 3), (8, 9), (11, 8), (8, 11), (11, 8), (8, 9), (5, 8), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (3, 5), (9, 8), (8, 9), (9, 8), (8, 5), (5, 8), (5, 3), (8, 9)]"
"(((1, 5), (2, 6)), ((1, 5), (3, 7)))",-1.564597379,-1.572351528,-1.568816312,6.01268E-05,1.77994E-05,0,2,0,0.2,0.360655738,0.639344262,0.142857143,"[(10, 7), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (13, 12), (10, 12), (12, 10), (7, 10), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (7, 10), (7, 4), (10, 7), (7, 10), (10, 7), (7, 6), (12, 13)]"
"(((1, 5), (2, 6)), ((0, 4), (2, 6)))",-1.557375337,-1.572727813,-1.572302985,0.000235699,0.000222835,0,2,0,0.2,0.382113821,0.617886179,0.142857143,"[(2, 1), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (0, 1), (1, 0), (0, 1), (1, 4), (5, 3), (3, 5), (5, 3), (3, 2), (2, 3), (2, 1), (2, 1), (1, 2), (2, 1), (0, 1), (3, 5), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (4, 1), (1, 4), (4, 1), (2, 1)]"
"(((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.597467104,-1.612411775,-1.605625321,0.000223343,6.65565E-05,0,2,0,0.2,0.398373984,0.601626016,0.142857143,"[(5, 3), (8, 11), (5, 8), (3, 5), (5, 8), (8, 5), (5, 8), (11, 8), (8, 5), (5, 8), (8, 5), (3, 5), (8, 5), (3, 5), (5, 8), (8, 5), (5, 8), (11, 8), (8, 5), (5, 8), (8, 5), (3, 5), (8, 5), (5, 8), (5, 3), (8, 11), (14, 11), (11, 14), (14, 11), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9), (8, 5), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (8, 5), (8, 9), (11, 8), (8, 11), (11, 8), (5, 8)]"
"(((1, 5), (2, 6)), ((1, 4), (2, 7)))",-1.566876398,-1.612411778,-1.602721757,0.002073471,0.00128489,0,2,0,0.2,0.331168831,0.668831169,0.142857143,"[(4, 7), (10, 7), (7, 10), (10, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (6, 7), (6, 7), (7, 10), (10, 7), (7, 10), (4, 7), (10, 12), (12, 10), (10, 12), (10, 7), (12, 13), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (12, 10), (10, 7), (12, 13)]"
"(((1, 5), (2, 6)), ((0, 4), (3, 7)))",-1.574878409,-1.617222871,-1.609167185,0.001793053,0.00117572,0,2,0,0.2,0.37704918,0.62295082,0.142857143,"[(7, 10), (4, 7), (7, 4), (4, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (4, 7), (7, 4), (4, 7), (7, 10), (13, 12), (14, 11), (14, 13), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (14, 13), (13, 12), (14, 11)]"
"(((1, 5), (2, 6)), ((4, 5), (6, 7)))",-1.547392501,-1.591233179,-1.58263103,0.001922005,0.001241754,0,2,0,0.2,0.40625,0.59375,0.142857143,"[(12, 13), (10, 12), (12, 10), (10, 12), (12, 15), (12, 10), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (12, 10), (12, 15), (10, 12), (12, 10), (10, 12), (7, 10), (12, 13), (12, 10), (10, 12), (12, 10), (10, 7), (7, 10), (10, 7), (7, 4), (10, 7), (4, 7), (7, 4), (4, 7), (12, 10), (7, 10), (4, 7), (7, 4), (4, 7), (12, 10), (7, 10), (4, 7), (7, 4), (4, 7), (12, 10), (7, 10), (4, 7), (7, 4), (4, 7), (12, 10), (7, 10), (10, 7), (7, 4), (10, 12)]"
"(((1, 5), (2, 6)), ((0, 1), (2, 3)))",-1.531895412,-1.591233177,-1.58168258,0.00352097,0.002478762,0,2,0,0.2,0.368055556,0.631944444,0.142857143,"[(4, 1), (2, 1), (1, 2), (2, 1), (1, 0), (1, 4), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (1, 4), (0, 1), (0, 1), (1, 2), (2, 1), (1, 2), (3, 2), (4, 1), (1, 2), (2, 1), (1, 2), (2, 3), (3, 2), (2, 3), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (2, 3), (2, 1), (3, 5)]"
"(((1, 5), (2, 6)), ((0, 0), (2, 0)))",-1.566403192,-1.57353437,-1.569338969,5.08537E-05,8.61879E-06,1,1,0.25,0.1,0.375,0.625,0.142857143,"[(5, 3), (8, 11), (5, 8), (3, 5), (11, 8), (8, 11), (11, 8), (8, 5), (3, 5), (11, 8), (8, 11), (11, 8), (8, 5), (3, 5), (11, 8), (8, 11), (11, 8), (8, 5), (3, 5), (11, 8), (8, 11), (11, 8), (8, 5), (5, 8), (5, 3), (3, 2), (2, 3), (2, 3), (3, 2), (8, 11)]"
"(((1, 5), (2, 6)), ((1, 0), (3, 0)))",-1.564864294,-1.573658275,-1.569624338,7.73341E-05,2.2658E-05,1,1,0.25,0.1,0.394736842,0.605263158,0.142857143,"[(7, 4), (10, 12), (7, 10), (4, 7), (7, 10), (10, 7), (7, 10), (12, 10), (10, 7), (7, 10), (10, 7), (4, 7), (10, 7), (4, 7), (7, 10), (10, 7), (7, 10), (12, 10), (10, 7), (7, 10), (10, 7), (4, 7), (10, 7), (7, 10), (7, 4), (10, 12), (13, 12), (12, 13), (12, 13), (13, 12)]"
"(((1, 5), (2, 6)), ((4, 0), (6, 0)))",-1.565089635,-1.57353437,-1.569383712,7.13135E-05,1.84391E-05,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(13, 12), (10, 12), (12, 10), (10, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (10, 12), (12, 10), (10, 12), (10, 7), (7, 10), (7, 10), (10, 7), (13, 12)]"
"(((1, 5), (2, 6)), ((5, 0), (7, 0)))",-1.567078589,-1.573658278,-1.569602873,4.32923E-05,6.37201E-06,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(13, 12), (10, 12), (12, 10), (10, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (10, 12), (12, 10), (10, 12), (13, 12), (14, 13), (13, 14), (13, 14), (14, 13)]"
